"",Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
48,45,10.94,-0.3,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,3,"National Stadium, Kingston (JAM)",28 JUN 2024,1214
49,45,10.94,0.1,Sha'Carri RICHARDSON,25 MAR 2000,USA,1h1,"Stade de France, Paris (FRA)",02 AUG 2024,1213
50,51,10.95,0.3,Kaila JACKSON,30 JUN 2004,USA,2,"Percy Beard Track, Gainesville, FL (USA)",11 MAY 2024,1211
51,51,10.95,0.8,Kaila JACKSON,30 JUN 2004,USA,1h5,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",23 MAY 2024,1211
52,51,10.95,0.8,Tamara CLARK,09 JAN 1999,USA,6,"Hayward Field, Eugene, OR (USA)",22 JUN 2024,1211
53,51,10.95,1.4,Salomé KORA,08 JUN 1994,SUI,2f1,"Stade de La Charrière, La Chaux-de-Fonds (SUI)",14 JUL 2024,1211
54,51,10.95,-0.8,Julien ALFRED,10 JUN 2001,LCA,1h2,"Stade de France, Paris (FRA)",02 AUG 2024,1215
55,51,10.95,1.2,Audrey LEDUC,09 MAR 1999,CAN,1h4,"Stade de France, Paris (FRA)",02 AUG 2024,1211
56,57,10.96,0.5,Audrey LEDUC,09 MAR 1999,CAN,2f1,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",20 APR 2024,1209
57,57,10.96,0.3,Dina ASHER-SMITH,04 DEC 1995,GBR,1sf2,"Stadio Olimpico, Roma (ITA)",09 JUN 2024,1209
58,57,10.96,1.5,Melissa JEFFERSON,21 FEB 2001,USA,2h3,"Stade de France, Paris (FRA)",02 AUG 2024,1209
59,57,10.96,-0.1,Daryll NEITA,29 AUG 1996,GBR,4,"Stade de France, Paris (FRA)",03 AUG 2024,1209
60,61,10.97,0.4,Aleia HOBBS,24 FEB 1996,USA,2h1,"Hayward Field, Eugene, OR (USA)",21 JUN 2024,1206
61,61,10.97,-0.1,Twanisha TERRY,24 JAN 1999,USA,5,"Stade de France, Paris (FRA)",03 AUG 2024,1206
62,61,10.97,0.2,Daryll NEITA,29 AUG 1996,GBR,2sf3,"Stade de France, Paris (FRA)",03 AUG 2024,1206
63,61,10.97,-0.4,Tamari DAVIS,15 FEB 2003,USA,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",22 AUG 2024,1208
64,61,10.97,0.5,Tamari DAVIS,15 FEB 2003,USA,1f1,"Stadio Comunale, Bellinzona (SUI)",09 SEP 2024,1206
65,66,10.98,2.0,Daryll NEITA,29 AUG 1996,GBR,1,"Suhaim bin Hamad Stadium, Doha (QAT)",10 MAY 2024,1204
66,66,10.98,1.9,Tamara CLARK,09 JAN 1999,USA,1f1,"National Training Center, Clermont, FL (USA)",11 MAY 2024,1204
67,66,10.98,1.5,Dina ASHER-SMITH,04 DEC 1995,GBR,3,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1204
68,66,10.98,0.7,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,1h2,"National Stadium, Kingston (JAM)",27 JUN 2024,1204
69,66,10.98,0.1,Marie-Josée TA LOU-SMITH,18 NOV 1988,CIV,1,"Icahn Stadium, New York, NY (USA)",26 SEP 2024,1204
70,71,10.99,2.0,Tamari DAVIS,15 FEB 2003,USA,2,"Suhaim bin Hamad Stadium, Doha (QAT)",10 MAY 2024,1202
71,71,10.99,0.8,Brianna LYSTON,24 MAY 2004,JAM,1sf1,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",25 MAY 2024,1202
72,71,10.99,1.3,Krystal SLOLEY,24 APR 2002,JAM,2,"National Stadium, Kingston (JAM)",01 JUN 2024,1202
73,71,10.99,0.7,Brianna LYSTON,24 MAY 2004,JAM,1sf2,"Hayward Field, Eugene, OR (USA)",06 JUN 2024,1202
74,71,10.99,0.6,Destiny SMITH-BARNETT,26 JUL 1996,LBR,1f1,"Notre Dame HS, Sherman Oaks, CA (USA)",07 JUN 2024,1202
75,71,10.99,0.7,Dina ASHER-SMITH,04 DEC 1995,GBR,1,"Stadio Olimpico, Roma (ITA)",09 JUN 2024,1202
76,71,10.99,0.4,Tamari DAVIS,15 FEB 2003,USA,2sf1,"Hayward Field, Eugene, OR (USA)",22 JUN 2024,1202
77,71,10.99,-0.2,Aleia HOBBS,24 FEB 1996,USA,2sf3,"Hayward Field, Eugene, OR (USA)",22 JUN 2024,1203
78,71,10.99,0.9,Shericka JACKSON,16 JUL 1994,JAM,1h1,"National Stadium, Kingston (JAM)",27 JUN 2024,1202
79,71,10.99,-1.0,Tamari DAVIS,15 FEB 2003,USA,2,"Stade Louis II, Monaco (MON)",12 JUL 2024,1208
80,71,10.99,-1.0,Dina ASHER-SMITH,04 DEC 1995,GBR,3,"Stade Louis II, Monaco (MON)",12 JUL 2024,1208
81,71,10.99,1.0,Ewa SWOBODA,26 JUL 1997,POL,1h5,"Stade de France, Paris (FRA)",02 AUG 2024,1202
82,71,10.99,-0.1,Mujinga KAMBUNDJI,17 JUN 1992,SUI,6,"Stade de France, Paris (FRA)",03 AUG 2024,1202
83,71,10.99,0.1,Melissa JEFFERSON,21 FEB 2001,USA,1sf1,"Stade de France, Paris (FRA)",03 AUG 2024,1202
84,85,11.0,1.5,Daryll NEITA,29 AUG 1996,GBR,4,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1200
85,85,11.0,2.0,Patrizia VAN DER WEKEN,12 NOV 1999,LUX,1sf3,"Stadio Olimpico, Roma (ITA)",09 JUN 2024,1200
86,85,11.0,1.2,Audrey LEDUC,09 MAR 1999,CAN,1h1,"Piste Ben Leduc, Montréal (CAN)",21 JUN 2024,1200
87,85,11.0,0.8,Candace HILL,11 FEB 1999,USA,7,"Hayward Field, Eugene, OR (USA)",22 JUN 2024,1200
88,85,11.0,-0.5,Tamari DAVIS,15 FEB 2003,USA,1,"Bregyó Athletic Center, Székesfehérvár (HUN)",09 JUL 2024,1203
89,85,11.0,1.2,Tia CLAYTON,17 AUG 2004,JAM,2h4,"Stade de France, Paris (FRA)",02 AUG 2024,1200
90,91,11.01,1.2,Talitha DIGGS,22 AUG 2002,USA,3f1,"Percy Beard Track, Gainesville, FL (USA)",13 APR 2024,1198
91,91,11.01,1.9,Candace HILL,11 FEB 1999,USA,1f2,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",27 APR 2024,1198
92,91,11.01,0.3,Thelma DAVIES,08 MAY 2000,USA,3,"Percy Beard Track, Gainesville, FL (USA)",11 MAY 2024,1198
93,91,11.01,0.1,Jadyn MAYS,02 APR 2002,USA,1,"Potts Field, Boulder, CO (USA)",12 MAY 2024,1198
94,91,11.01,2.0,Zaynab DOSSO,12 SEP 1999,ITA,2sf3,"Stadio Olimpico, Roma (ITA)",09 JUN 2024,1198
95,91,11.01,0.3,Tamari DAVIS,15 FEB 2003,USA,2h4,"Hayward Field, Eugene, OR (USA)",21 JUN 2024,1198
96,91,11.01,0.9,Jodean WILLIAMS,11 NOV 1993,JAM,2h1,"National Stadium, Kingston (JAM)",27 JUN 2024,1198
97,91,11.01,0.2,Mujinga KAMBUNDJI,17 JUN 1992,SUI,1,"Stadion Deutweg, Winterthur (SUI)",28 JUN 2024,1198
98,91,11.01,1.3,Gémima JOSEPH,17 OCT 2001,FRA,1,"Stade Josette et Roger Mikulak, Angers (FRA)",29 JUN 2024,1198
99,91,11.01,1.6,Kristina MAKARENKO,28 FEB 1997,RUS,1,"Olympic Stadium, Cheboksary (RUS)",08 JUL 2024,1198
0,91,11.01,1.0,Dina ASHER-SMITH,04 DEC 1995,GBR,2h5,"Stade de France, Paris (FRA)",02 AUG 2024,1198
1,91,11.01,-0.2,Gina Mariam BASS BITTAYE,03 MAY 1995,GAM,1h7,"Stade de France, Paris (FRA)",02 AUG 2024,1199
2,91,11.01,0.1,Marie-Josée TA LOU-SMITH,18 NOV 1988,CIV,2sf1,"Stade de France, Paris (FRA)",03 AUG 2024,1198
3,104,11.02,1.7,Imani LANSIQUOT,17 DEC 1997,GBR,1f1,"National Training Center, Clermont, FL (USA)",20 APR 2024,1195
4,104,11.02,2.0,Celera BARNES,02 DEC 1998,USA,3,"Suhaim bin Hamad Stadium, Doha (QAT)",10 MAY 2024,1195
5,104,11.02,0.9,Zaynab DOSSO,12 SEP 1999,ITA,1,"Centro Sportivo Fontanassa, Savona (ITA)",15 MAY 2024,1195
6,104,11.02,1.0,Mckenzie LONG,11 JUL 2000,USA,1h4,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",23 MAY 2024,1195
7,104,11.02,1.5,Melissa JEFFERSON,21 FEB 2001,USA,5,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1195
8,104,11.02,0.8,Thelma DAVIES,08 MAY 2000,USA,2sf1,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",25 MAY 2024,1195
9,104,11.02,0.7,Ewa SWOBODA,26 JUL 1997,POL,1sf1,"Stadio Olimpico, Roma (ITA)",09 JUN 2024,1195
10,104,11.02,0.8,Jenna PRANDINI,20 NOV 1992,USA,8,"Hayward Field, Eugene, OR (USA)",22 JUN 2024,1195
11,104,11.02,0.7,Tia CLAYTON,17 AUG 2004,JAM,2h2,"National Stadium, Kingston (JAM)",27 JUN 2024,1195
12,104,11.02,-1.0,Patrizia VAN DER WEKEN,12 NOV 1999,LUX,4,"Stade Louis II, Monaco (MON)",12 JUL 2024,1201
13,114,11.03,1.8,Shericka JACKSON,16 JUL 1994,JAM,1f3,"National Stadium, Kingston (JAM)",04 MAY 2024,1193
14,114,11.03,0.2,Brianna LYSTON,24 MAY 2004,JAM,1h6,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",23 MAY 2024,1193
15,114,11.03,-0.1,Kaila JACKSON,30 JUN 2004,USA,2sf2,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",25 MAY 2024,1193
16,114,11.03,0.5,Tima GODBLESS,14 JUL 2004,NGR,2sf3,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",25 MAY 2024,1193
17,114,11.03,0.7,Ewa SWOBODA,26 JUL 1997,POL,2,"Stadio Olimpico, Roma (ITA)",09 JUN 2024,1193
18,114,11.03,0.7,Zaynab DOSSO,12 SEP 1999,ITA,3,"Stadio Olimpico, Roma (ITA)",09 JUN 2024,1193
19,114,11.03,0.9,Jenna PRANDINI,20 NOV 1992,USA,2h3,"Hayward Field, Eugene, OR (USA)",21 JUN 2024,1193
20,114,11.03,1.5,Shashalee FORBES,10 MAY 1996,JAM,1h4,"National Stadium, Kingston (JAM)",27 JUN 2024,1193
21,122,11.04,1.1,Gémima JOSEPH,17 OCT 2001,FRA,1,"Stade Edmard Lama, Remire-Montjoly (FRA)",13 APR 2024,1191
22,122,11.04,0.8,Tamara CLARK,09 JAN 1999,USA,1,"Edwin Moses Track, Atlanta, GA (USA)",31 MAY 2024,1191
23,122,11.04,1.5,Jadyn MAYS,02 APR 2002,USA,1sf1,"Hayward Field, Eugene, OR (USA)",06 JUN 2024,1191
24,122,11.04,0.7,Kaila JACKSON,30 JUN 2004,USA,2sf2,"Hayward Field, Eugene, OR (USA)",06 JUN 2024,1191
25,122,11.04,0.7,Patrizia VAN DER WEKEN,12 NOV 1999,LUX,4,"Stadio Olimpico, Roma (ITA)",09 JUN 2024,1191
26,122,11.04,0.4,Morolake AKINOSUN,17 MAY 1994,USA,3h1,"Hayward Field, Eugene, OR (USA)",21 JUN 2024,1191
27,122,11.04,-0.2,Twanisha TERRY,24 JAN 1999,USA,3sf3,"Hayward Field, Eugene, OR (USA)",22 JUN 2024,1192
28,122,11.04,-0.3,Shashalee FORBES,10 MAY 1996,JAM,4,"National Stadium, Kingston (JAM)",28 JUN 2024,1192
29,122,11.04,1.5,Kemba NELSON,23 FEB 2000,JAM,2sf1,"National Stadium, Kingston (JAM)",28 JUN 2024,1191
30,122,11.04,0.2,Gina LÜCKENKEMPER,21 NOV 1996,GER,1,"Eintracht-Stadion, Braunschweig (GER)",29 JUN 2024,1191
31,122,11.04,1.4,Kemba NELSON,23 FEB 2000,JAM,3f1,"Stade de La Charrière, La Chaux-de-Fonds (SUI)",14 JUL 2024,1191
32,122,11.04,-0.1,Tia CLAYTON,17 AUG 2004,JAM,7,"Stade de France, Paris (FRA)",03 AUG 2024,1191
33,134,11.05,1.1,Abby STEINER,24 NOV 1999,USA,1f2,"Percy Beard Track, Gainesville, FL (USA)",13 APR 2024,1189
34,134,11.05,-0.2,Gina Mariam BASS BITTAYE,03 MAY 1995,GAM,1h2,"Stade L. Achille, Fort-de-France (FRA)",18 MAY 2024,1190
35,134,11.05,1.5,Marie-Josée TA LOU-SMITH,18 NOV 1988,CIV,6,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1189
36,134,11.05,0.7,Ewa SWOBODA,26 JUL 1997,POL,1,"Mestský Stadion, Ostrava (CZE)",28 MAY 2024,1189
37,134,11.05,1.3,Shashalee FORBES,10 MAY 1996,JAM,3,"National Stadium, Kingston (JAM)",01 JUN 2024,1189
38,134,11.05,0.3,Shashalee FORBES,10 MAY 1996,JAM,1f1,"National Stadium, Kingston (JAM)",08 JUN 2024,1189
39,134,11.05,0.3,Tamara CLARK,09 JAN 1999,USA,3h4,"Hayward Field, Eugene, OR (USA)",21 JUN 2024,1189
40,134,11.05,-0.2,Mujinga KAMBUNDJI,17 JUN 1992,SUI,2h7,"Stade de France, Paris (FRA)",02 AUG 2024,1190
41,134,11.05,0.1,Mujinga KAMBUNDJI,17 JUN 1992,SUI,3sf1,"Stade de France, Paris (FRA)",03 AUG 2024,1189
42,134,11.05,0.2,Marie-Josée TA LOU-SMITH,18 NOV 1988,CIV,3,"Boudewijnstadion, Bruxelles (BEL)",13 SEP 2024,1189
43,134,11.05,0.1,Brittany BROWN,18 APR 1995,USA,2,"Icahn Stadium, New York, NY (USA)",26 SEP 2024,1189
44,145,11.06,1.9,Kennedy BLACKMON,02 OCT 1999,USA,2f2,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",27 APR 2024,1187
45,145,11.06,1.6,Gina LÜCKENKEMPER,21 NOV 1996,GER,1h3,"National Training Center, Clermont, FL (USA)",11 MAY 2024,1187
46,145,11.06,0.7,Niesha BURGHER,08 AUG 2002,JAM,1,"Kidd Field at the University of Texas, El Paso, TX (USA)",12 MAY 2024,1187
47,145,11.06,0.5,Joella LLOYD,12 APR 2002,ANT,3sf3,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",25 MAY 2024,1187
48,145,11.06,0.7,Gina LÜCKENKEMPER,21 NOV 1996,GER,2sf1,"Stadio Olimpico, Roma (ITA)",09 JUN 2024,1187
49,145,11.06,0.3,Gémima JOSEPH,17 OCT 2001,FRA,2sf2,"Stadio Olimpico, Roma (ITA)",09 JUN 2024,1187
50,145,11.06,0.1,Favour OFILI,31 DEC 2002,NGR,1,"Samuel Ogbemudia Stadium, Benin City (NGR)",16 JUN 2024,1187
51,145,11.06,0.4,Celera BARNES,02 DEC 1998,USA,4h1,"Hayward Field, Eugene, OR (USA)",21 JUN 2024,1187
52,145,11.06,-2.0,Patrizia VAN DER WEKEN,12 NOV 1999,LUX,1,"Stade Charléty, Paris (FRA)",07 JUL 2024,1199
53,145,11.06,-0.5,Tia CLAYTON,17 AUG 2004,JAM,2,"Bregyó Athletic Center, Székesfehérvár (HUN)",09 JUL 2024,1190
54,145,11.06,-0.4,Mujinga KAMBUNDJI,17 JUN 1992,SUI,3,"Stade Olympique de la Pontaise, Lausanne (SUI)",22 AUG 2024,1189
55,145,11.06,0.1,Tamari DAVIS,15 FEB 2003,USA,5,"Letzigrund, Zürich (SUI)",05 SEP 2024,1187
56,157,11.07,1.7,Imani LANSIQUOT,17 DEC 1997,GBR,1h3,"National Training Center, Clermont, FL (USA)",20 APR 2024,1185
57,157,11.07,1.9,Rebekka HAASE,02 JAN 1993,GER,2f1,"National Training Center, Clermont, FL (USA)",11 MAY 2024,1185
58,157,11.07,0.5,Gémima JOSEPH,17 OCT 2001,FRA,2,"Stade L. Achille, Fort-de-France (FRA)",18 MAY 2024,1185
59,157,11.07,1.2,Ariane LINTON,02 OCT 2003,USA,2h3,"John McDonnell Field, Fayetteville, AR (USA)",25 MAY 2024,1185
60,157,11.07,0.7,Gina LÜCKENKEMPER,21 NOV 1996,GER,5,"Stadio Olimpico, Roma (ITA)",09 JUN 2024,1185
61,157,11.07,0.7,Audrey LEDUC,09 MAR 1999,CAN,1,"Foote Field, Edmonton (CAN)",13 JUN 2024,1185
62,157,11.07,0.9,Twanisha TERRY,24 JAN 1999,USA,3h3,"Hayward Field, Eugene, OR (USA)",21 JUN 2024,1185
63,157,11.07,1.6,Gémima JOSEPH,17 OCT 2001,FRA,1h1,"Stade Josette et Roger Mikulak, Angers (FRA)",29 JUN 2024,1185
64,157,11.07,0.9,Favour OFILI,31 DEC 2002,NGR,1,"Percy Beard Track, Gainesville, FL (USA)",19 JUL 2024,1185
65,157,11.07,0.9,Candace HILL,11 FEB 1999,USA,2,"Percy Beard Track, Gainesville, FL (USA)",19 JUL 2024,1185
66,157,11.07,0.2,Twanisha TERRY,24 JAN 1999,USA,3sf3,"Stade de France, Paris (FRA)",03 AUG 2024,1185
67,157,11.07,-0.4,Marie-Josée TA LOU-SMITH,18 NOV 1988,CIV,4,"Stade Olympique de la Pontaise, Lausanne (SUI)",22 AUG 2024,1187
68,169,11.08,0.3,Audrey LEDUC,09 MAR 1999,CAN,1f2,"Percy Beard Track, Gainesville, FL (USA)",30 MAR 2024,1182
69,169,11.08,0.2,Dajaz DEFRAND,16 OCT 2003,USA,1,"Geroge C. Griffin Track, Atlanta, GA (USA)",11 MAY 2024,1182
70,169,11.08,0.8,Celera BARNES,02 DEC 1998,USA,2,"Edwin Moses Track, Atlanta, GA (USA)",31 MAY 2024,1182
71,169,11.08,0.0,Tima GODBLESS,14 JUL 2004,NGR,2sf3,"Hayward Field, Eugene, OR (USA)",06 JUN 2024,1182
72,169,11.08,0.6,Briana WILLIAMS,21 MAR 2002,JAM,2f1,"Notre Dame HS, Sherman Oaks, CA (USA)",07 JUN 2024,1182
73,169,11.08,0.7,Gémima JOSEPH,17 OCT 2001,FRA,6,"Stadio Olimpico, Roma (ITA)",09 JUN 2024,1182
74,169,11.08,1.2,Patrizia VAN DER WEKEN,12 NOV 1999,LUX,1f2,"Stade de Luxembourg, Luxembourg (LUX)",29 JUN 2024,1182
75,169,11.08,-1.0,Marie-Josée TA LOU-SMITH,18 NOV 1988,CIV,5,"Stade Louis II, Monaco (MON)",12 JUL 2024,1188
76,169,11.08,-0.8,Zoe HOBBS,11 SEP 1997,NZL,2h2,"Stade de France, Paris (FRA)",02 AUG 2024,1186
77,169,11.08,0.8,Gina LÜCKENKEMPER,21 NOV 1996,GER,3h8,"Stade de France, Paris (FRA)",02 AUG 2024,1182
78,169,11.08,0.1,Ewa SWOBODA,26 JUL 1997,POL,4sf1,"Stade de France, Paris (FRA)",03 AUG 2024,1182
79,180,11.09,1.2,Alana REID,20 JAN 2005,JAM,4f1,"Percy Beard Track, Gainesville, FL (USA)",13 APR 2024,1180
80,180,11.09,0.3,Brianna LYSTON,24 MAY 2004,JAM,1h1,"Percy Beard Track, Gainesville, FL (USA)",10 MAY 2024,1180
81,180,11.09,-0.9,Jacious SEARS,14 AUG 2001,USA,1h3,"Percy Beard Track, Gainesville, FL (USA)",10 MAY 2024,1185
82,180,11.09,1.1,Krystal SLOLEY,24 APR 2002,JAM,2f1,"National Stadium, Kingston (JAM)",11 MAY 2024,1180
83,180,11.09,0.5,Gina Mariam BASS BITTAYE,03 MAY 1995,GAM,1f1,"Paul-Greifzu-Stadion, Dessau (GER)",24 MAY 2024,1180
84,180,11.09,1.5,Rebekka HAASE,02 JAN 1993,GER,1h2,"Stadion Manfort, Leverkusen (GER)",25 MAY 2024,1180
85,180,11.09,0.8,Shenese WALKER,23 JAN 2003,JAM,3sf1,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",25 MAY 2024,1180
86,180,11.09,-0.1,Leah BERTRAND,26 JUL 2002,TTO,3sf2,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",25 MAY 2024,1180
87,180,11.09,1.2,Jassani CARTER,04 NOV 2003,USA,3h3,"John McDonnell Field, Fayetteville, AR (USA)",25 MAY 2024,1180
88,180,11.09,0.3,Mujinga KAMBUNDJI,17 JUN 1992,SUI,3sf2,"Stadio Olimpico, Roma (ITA)",09 JUN 2024,1180
89,180,11.09,0.4,Anavia BATTLE,28 MAR 1999,USA,3sf1,"Hayward Field, Eugene, OR (USA)",22 JUN 2024,1180
90,180,11.09,0.4,Jenna PRANDINI,20 NOV 1992,USA,4sf1,"Hayward Field, Eugene, OR (USA)",22 JUN 2024,1180
