"",Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,10.71,0.8,Sha'Carri RICHARDSON,25 MAR 2000,USA,1,"Hayward Field, Eugene, OR (USA)",22 JUN 2024,1264
1,2,10.72,-0.1,Julien ALFRED,10 JUN 2001,LCA,1,"Stade de France, Paris (FRA)",03 AUG 2024,1262
2,3,10.77,1.6,Jacious SEARS,14 AUG 2001,USA,1f1,"Percy Beard Track, Gainesville, FL (USA)",13 APR 2024,1251
3,4,10.78,1.3,Julien ALFRED,10 JUN 2001,LCA,1,"National Stadium, Kingston (JAM)",01 JUN 2024,1248
4,5,10.8,0.8,Melissa JEFFERSON,21 FEB 2001,USA,2,"Hayward Field, Eugene, OR (USA)",22 JUN 2024,1244
5,6,10.83,1.5,Sha'Carri RICHARDSON,25 MAR 2000,USA,1,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1237
6,7,10.84,-0.3,Shericka JACKSON,16 JUL 1994,JAM,1,"National Stadium, Kingston (JAM)",28 JUN 2024,1236
7,7,10.84,-0.1,Julien ALFRED,10 JUN 2001,LCA,1sf2,"Stade de France, Paris (FRA)",03 AUG 2024,1235
8,7,10.84,0.1,Sha'Carri RICHARDSON,25 MAR 2000,USA,1,"Letzigrund, Zürich (SUI)",05 SEP 2024,1235
9,10,10.85,-1.0,Julien ALFRED,10 JUN 2001,LCA,1,"Stade Louis II, Monaco (MON)",12 JUL 2024,1239
10,11,10.86,0.4,Sha'Carri RICHARDSON,25 MAR 2000,USA,1sf1,"Hayward Field, Eugene, OR (USA)",22 JUN 2024,1231
11,11,10.86,1.0,Tia CLAYTON,17 AUG 2004,JAM,1sf2,"National Stadium, Kingston (JAM)",28 JUN 2024,1231
12,13,10.87,-0.2,Melissa JEFFERSON,21 FEB 2001,USA,1sf3,"Hayward Field, Eugene, OR (USA)",22 JUN 2024,1229
13,13,10.87,1.0,Shericka JACKSON,16 JUL 1994,JAM,2sf2,"National Stadium, Kingston (JAM)",28 JUN 2024,1228
14,13,10.87,0.8,Marie-Josée TA LOU-SMITH,18 NOV 1988,CIV,1h8,"Stade de France, Paris (FRA)",02 AUG 2024,1228
15,13,10.87,-0.1,Sha'Carri RICHARDSON,25 MAR 2000,USA,2,"Stade de France, Paris (FRA)",03 AUG 2024,1228
16,17,10.88,0.5,Aleia HOBBS,24 FEB 1996,USA,1f1,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",20 APR 2024,1226
17,17,10.88,1.2,Rosemary CHUKWUMA,05 DEC 2001,NGR,1h3,"John McDonnell Field, Fayetteville, AR (USA)",25 MAY 2024,1226
18,17,10.88,0.3,Sha'Carri RICHARDSON,25 MAR 2000,USA,1h4,"Hayward Field, Eugene, OR (USA)",21 JUN 2024,1226
19,17,10.88,-0.4,Dina ASHER-SMITH,04 DEC 1995,GBR,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",22 AUG 2024,1228
20,17,10.88,0.1,Julien ALFRED,10 JUN 2001,LCA,2,"Letzigrund, Zürich (SUI)",05 SEP 2024,1226
21,17,10.88,0.2,Julien ALFRED,10 JUN 2001,LCA,1,"Boudewijnstadion, Bruxelles (BEL)",13 SEP 2024,1226
22,23,10.89,0.8,Twanisha TERRY,24 JAN 1999,USA,3,"Hayward Field, Eugene, OR (USA)",22 JUN 2024,1224
23,23,10.89,-0.1,Sha'Carri RICHARDSON,25 MAR 2000,USA,2sf2,"Stade de France, Paris (FRA)",03 AUG 2024,1224
24,23,10.89,0.2,Tia CLAYTON,17 AUG 2004,JAM,1sf3,"Stade de France, Paris (FRA)",03 AUG 2024,1224
25,23,10.89,0.1,Dina ASHER-SMITH,04 DEC 1995,GBR,3,"Letzigrund, Zürich (SUI)",05 SEP 2024,1224
26,27,10.9,-0.3,Tia CLAYTON,17 AUG 2004,JAM,2,"National Stadium, Kingston (JAM)",28 JUN 2024,1223
27,27,10.9,1.4,Mujinga KAMBUNDJI,17 JUN 1992,SUI,1f1,"Stade de La Charrière, La Chaux-de-Fonds (SUI)",14 JUL 2024,1222
28,29,10.91,1.1,Marie-Josée TA LOU-SMITH,18 NOV 1988,CIV,1f1,"National Stadium, Kingston (JAM)",11 MAY 2024,1220
29,29,10.91,0.3,Brianna LYSTON,24 MAY 2004,JAM,1,"Percy Beard Track, Gainesville, FL (USA)",11 MAY 2024,1220
30,29,10.91,0.0,Mckenzie LONG,11 JUL 2000,USA,1sf3,"Hayward Field, Eugene, OR (USA)",06 JUN 2024,1220
31,29,10.91,0.9,Melissa JEFFERSON,21 FEB 2001,USA,1h3,"Hayward Field, Eugene, OR (USA)",21 JUN 2024,1220
32,29,10.91,0.8,Tamari DAVIS,15 FEB 2003,USA,4,"Hayward Field, Eugene, OR (USA)",22 JUN 2024,1220
33,29,10.91,1.5,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,1sf1,"National Stadium, Kingston (JAM)",28 JUN 2024,1220
34,35,10.92,0.5,Mckenzie LONG,11 JUL 2000,USA,1sf3,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",25 MAY 2024,1217
35,35,10.92,1.5,Daryll NEITA,29 AUG 1996,GBR,1h3,"Stade de France, Paris (FRA)",02 AUG 2024,1217
36,35,10.92,0.8,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,2h8,"Stade de France, Paris (FRA)",02 AUG 2024,1217
37,35,10.92,-0.1,Melissa JEFFERSON,21 FEB 2001,USA,3,"Stade de France, Paris (FRA)",03 AUG 2024,1217
38,35,10.92,0.2,Dina ASHER-SMITH,04 DEC 1995,GBR,2,"Boudewijnstadion, Bruxelles (BEL)",13 SEP 2024,1217
39,40,10.93,0.5,Gina Mariam BASS BITTAYE,03 MAY 1995,GAM,1,"Stade L. Achille, Fort-de-France (FRA)",18 MAY 2024,1215
40,40,10.93,1.5,Julien ALFRED,10 JUN 2001,LCA,2,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1215
41,40,10.93,0.8,Aleia HOBBS,24 FEB 1996,USA,5,"Hayward Field, Eugene, OR (USA)",22 JUN 2024,1215
42,40,10.93,1.0,Gina LÜCKENKEMPER,21 NOV 1996,GER,1,"Olympiastadion, Berlin (GER)",01 SEP 2024,1215
43,40,10.93,0.1,Marie-Josée TA LOU-SMITH,18 NOV 1988,CIV,4,"Letzigrund, Zürich (SUI)",05 SEP 2024,1215
44,45,10.94,1.2,Tamari DAVIS,15 FEB 2003,USA,1f1,"Percy Beard Track, Gainesville, FL (USA)",13 APR 2024,1213
45,45,10.94,1.2,Melissa JEFFERSON,21 FEB 2001,USA,1f1,"Percy Beard Track, Gainesville, FL (USA)",13 APR 2024,1213
46,45,10.94,-0.1,Dajaz DEFRAND,16 OCT 2003,USA,1sf2,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",25 MAY 2024,1213
47,45,10.94,0.4,Mckenzie LONG,11 JUL 2000,USA,1h1,"Hayward Field, Eugene, OR (USA)",21 JUN 2024,1213
