"",Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
23,21,22.08,-0.6,Julien ALFRED,10 JUN 2001,LCA,2,"Stade de France, Paris (FRA)",06 AUG 2024,1232
24,25,22.1,0.5,Mckenzie LONG,11 JUL 2000,USA,1sf2,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",25 MAY 2024,1227
25,25,22.1,0.6,Tamari DAVIS,15 FEB 2003,USA,3sf2,"Hayward Field, Eugene, OR (USA)",28 JUN 2024,1227
26,27,22.11,0.6,JaMeesia FORD,26 JAN 2005,USA,2,"Percy Beard Track, Gainesville, FL (USA)",11 MAY 2024,1226
27,27,22.11,0.1,Gabrielle THOMAS,07 DEC 1996,USA,1h4,"Hayward Field, Eugene, OR (USA)",27 JUN 2024,1226
28,29,22.12,1.4,Tamara CLARK,09 JAN 1999,USA,3sf3,"Hayward Field, Eugene, OR (USA)",28 JUN 2024,1225
29,29,22.12,0.1,Brittany BROWN,18 APR 1995,USA,1sf3,"Stade de France, Paris (FRA)",05 AUG 2024,1225
30,31,22.14,1.2,JaMeesia FORD,26 JAN 2005,USA,1sf2,"Hayward Field, Eugene, OR (USA)",06 JUN 2024,1223
31,32,22.16,,Julien ALFRED,10 JUN 2001,LCA,1f1,"Convention Center, Albuquerque, NM (USA) (i)",02 FEB 2024,1259
32,32,22.16,0.6,Sha'Carri RICHARDSON,25 MAR 2000,USA,4,"Hayward Field, Eugene, OR (USA)",29 JUN 2024,1221
33,32,22.16,0.6,Julien ALFRED,10 JUN 2001,LCA,1,"Bregyó Athletic Center, Székesfehérvár (HUN)",09 JUL 2024,1221
34,35,22.17,0.6,Thelma DAVIES,08 MAY 2000,USA,3,"Percy Beard Track, Gainesville, FL (USA)",11 MAY 2024,1220
35,36,22.18,-0.7,Dina ASHER-SMITH,04 DEC 1995,GBR,1,"Manchester Regional Arena, Manchester (GBR)",30 JUN 2024,1223
36,36,22.18,0.7,Brittany BROWN,18 APR 1995,USA,1,"Icahn Stadium, New York, NY (USA)",26 SEP 2024,1219
37,38,22.19,1.0,Jadyn MAYS,02 APR 2002,USA,3,"Hayward Field, Eugene, OR (USA)",08 JUN 2024,1218
38,39,22.2,0.6,Tamara CLARK,09 JAN 1999,USA,5,"Hayward Field, Eugene, OR (USA)",29 JUN 2024,1217
39,39,22.2,-0.9,Daryll NEITA,29 AUG 1996,GBR,4,"Olympic Stadium, London (GBR)",20 JUL 2024,1222
40,39,22.2,0.0,Gabrielle THOMAS,07 DEC 1996,USA,1h2,"Stade de France, Paris (FRA)",04 AUG 2024,1217
41,39,22.2,-0.6,Brittany BROWN,18 APR 1995,USA,3,"Stade de France, Paris (FRA)",06 AUG 2024,1220
42,39,22.2,0.2,Brittany BROWN,18 APR 1995,USA,1,"Boudewijnstadion, Bruxelles (BEL)",14 SEP 2024,1217
43,44,22.21,1.2,Tamara CLARK,09 JAN 1999,USA,2f2,"Mike A. Myers Stadium, Austin, TX (USA)",30 MAR 2024,1216
44,44,22.21,0.7,Gabrielle THOMAS,07 DEC 1996,USA,2,"Icahn Stadium, New York, NY (USA)",26 SEP 2024,1216
45,46,22.22,-0.6,Dina ASHER-SMITH,04 DEC 1995,GBR,4,"Stade de France, Paris (FRA)",06 AUG 2024,1218
46,47,22.23,-0.6,Daryll NEITA,29 AUG 1996,GBR,5,"Stade de France, Paris (FRA)",06 AUG 2024,1217
47,48,22.24,0.6,Abby STEINER,24 NOV 1999,USA,6,"Hayward Field, Eugene, OR (USA)",29 JUN 2024,1212
48,48,22.24,0.5,Favour OFILI,31 DEC 2002,NGR,1h6,"Stade de France, Paris (FRA)",04 AUG 2024,1212
49,48,22.24,0.1,Daryll NEITA,29 AUG 1996,GBR,2sf3,"Stade de France, Paris (FRA)",05 AUG 2024,1212
50,48,22.24,-0.6,Favour OFILI,31 DEC 2002,NGR,6,"Stade de France, Paris (FRA)",06 AUG 2024,1215
51,52,22.26,1.0,Jayla JAMISON,06 SEP 2003,USA,4,"Hayward Field, Eugene, OR (USA)",08 JUN 2024,1210
52,52,22.26,1.8,Jenna PRANDINI,20 NOV 1992,USA,2sf1,"Hayward Field, Eugene, OR (USA)",28 JUN 2024,1210
53,54,22.27,1.1,Jadyn MAYS,02 APR 2002,USA,1sf1,"Hayward Field, Eugene, OR (USA)",06 JUN 2024,1209
54,54,22.27,0.4,Anavia BATTLE,28 MAR 1999,USA,2,"Stadio Olimpico, Roma (ITA)",30 AUG 2024,1209
55,56,22.28,0.1,Kaila JACKSON,30 JUN 2004,USA,1h6,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",23 MAY 2024,1208
56,56,22.28,-0.1,JaMeesia FORD,26 JAN 2005,USA,1sf1,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",25 MAY 2024,1208
57,56,22.28,0.5,Dina ASHER-SMITH,04 DEC 1995,GBR,2h6,"Stade de France, Paris (FRA)",04 AUG 2024,1208
58,59,22.29,1.7,Dina ASHER-SMITH,04 DEC 1995,GBR,1f1,"Mike A. Myers Stadium, Austin, TX (USA)",26 APR 2024,1207
59,59,22.29,0.5,Abby STEINER,24 NOV 1999,USA,2h1,"Hayward Field, Eugene, OR (USA)",27 JUN 2024,1207
60,59,22.29,0.2,Brittany BROWN,18 APR 1995,USA,1h3,"Hayward Field, Eugene, OR (USA)",27 JUN 2024,1207
61,59,22.29,1.6,Shericka JACKSON,16 JUL 1994,JAM,1,"National Stadium, Kingston (JAM)",30 JUN 2024,1207
62,63,22.3,0.0,Mckenzie LONG,11 JUL 2000,USA,3sf1,"Stade de France, Paris (FRA)",05 AUG 2024,1206
63,64,22.31,-1.0,Brianna LYSTON,24 MAY 2004,JAM,1h2,"Percy Beard Track, Gainesville, FL (USA)",09 MAY 2024,1211
64,64,22.31,0.2,Dina ASHER-SMITH,04 DEC 1995,GBR,2sf2,"Stade de France, Paris (FRA)",05 AUG 2024,1205
65,66,22.32,1.3,Tamara CLARK,09 JAN 1999,USA,1f1,"National Training Center, Clermont, FL (USA)",11 MAY 2024,1204
66,66,22.32,-0.3,Abby STEINER,24 NOV 1999,USA,2,"Drake Stadium, Los Angeles, CA (USA)",18 MAY 2024,1205
67,66,22.32,-0.2,Brittany BROWN,18 APR 1995,USA,1,"Bislett Stadion, Oslo (NOR)",30 MAY 2024,1205
68,69,22.33,1.4,Favour OFILI,31 DEC 2002,NGR,1f1,"Percy Beard Track, Gainesville, FL (USA)",12 APR 2024,1203
69,69,22.33,1.8,Jadyn MAYS,02 APR 2002,USA,3sf1,"Hayward Field, Eugene, OR (USA)",28 JUN 2024,1203
70,71,22.34,,JaMeesia FORD,26 JAN 2005,USA,1f2,"The Track at New Balance, Boston, MA (USA) (i)",09 MAR 2024,1241
71,71,22.34,-2.0,Favour OFILI,31 DEC 2002,NGR,1f1,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",27 APR 2024,1214
72,71,22.34,0.5,Dajaz DEFRAND,16 OCT 2003,USA,2sf2,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",25 MAY 2024,1202
73,71,22.34,1.6,Lanae-Tava THOMAS,28 JAN 2001,JAM,2,"National Stadium, Kingston (JAM)",30 JUN 2024,1202
74,71,22.34,0.7,Anavia BATTLE,28 MAR 1999,USA,3,"Icahn Stadium, New York, NY (USA)",26 SEP 2024,1202
75,76,22.35,-0.3,Brittany BROWN,18 APR 1995,USA,3,"Drake Stadium, Los Angeles, CA (USA)",18 MAY 2024,1202
76,76,22.35,1.1,Jayla JAMISON,06 SEP 2003,USA,2sf1,"Hayward Field, Eugene, OR (USA)",06 JUN 2024,1201
77,76,22.35,-0.9,Rhasidat ADELEKE,29 AUG 2002,IRL,5,"Olympic Stadium, London (GBR)",20 JUL 2024,1206
78,79,22.36,,JaMeesia FORD,26 JAN 2005,USA,1f1,"Clemson Indoor Track & Field Complex, Clemson, SC (USA) (i)",10 FEB 2024,1240
79,79,22.36,,JaMeesia FORD,26 JAN 2005,USA,1f2,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",24 FEB 2024,1240
80,79,22.36,-0.2,Marie-Josée TA LOU-SMITH,18 NOV 1988,CIV,2,"Bislett Stadion, Oslo (NOR)",30 MAY 2024,1201
81,79,22.36,1.1,Audrey LEDUC,09 MAR 1999,CAN,1,"Edwin Moses Track, Atlanta, GA (USA)",31 MAY 2024,1200
82,79,22.36,1.8,Lanae-Tava THOMAS,28 JAN 2001,JAM,1,"National Stadium, Kingston (JAM)",01 JUN 2024,1200
83,79,22.36,0.6,Daryll NEITA,29 AUG 1996,GBR,2,"Bregyó Athletic Center, Székesfehérvár (HUN)",09 JUL 2024,1200
84,79,22.36,-0.2,Favour OFILI,31 DEC 2002,NGR,1,"Percy Beard Track, Gainesville, FL (USA)",19 JUL 2024,1201
85,79,22.36,0.1,Jessika GBAI,29 DEC 1998,CIV,3sf3,"Stade de France, Paris (FRA)",05 AUG 2024,1200
86,87,22.37,0.9,JaMeesia FORD,26 JAN 2005,USA,1f1,"Percy Beard Track, Gainesville, FL (USA)",29 MAR 2024,1199
87,87,22.37,0.6,Mckenzie LONG,11 JUL 2000,USA,1h3,"Percy Beard Track, Gainesville, FL (USA)",09 MAY 2024,1199
88,87,22.37,0.6,Brianna LYSTON,24 MAY 2004,JAM,4,"Percy Beard Track, Gainesville, FL (USA)",11 MAY 2024,1199
89,87,22.37,1.1,Kaila JACKSON,30 JUN 2004,USA,3sf1,"Hayward Field, Eugene, OR (USA)",06 JUN 2024,1199
90,91,22.38,0.6,Kaila JACKSON,30 JUN 2004,USA,5,"Percy Beard Track, Gainesville, FL (USA)",11 MAY 2024,1198
91,91,22.38,0.2,Brittany BROWN,18 APR 1995,USA,1h5,"Stade de France, Paris (FRA)",04 AUG 2024,1198
92,93,22.39,0.6,Dennisha PAGE,,USA,6,"Percy Beard Track, Gainesville, FL (USA)",11 MAY 2024,1197
93,93,22.39,1.1,Tamari DAVIS,15 FEB 2003,USA,2,"Edwin Moses Track, Atlanta, GA (USA)",31 MAY 2024,1197
94,93,22.39,1.6,Niesha BURGHER,08 AUG 2002,JAM,3,"National Stadium, Kingston (JAM)",30 JUN 2024,1197
95,93,22.39,0.0,Daryll NEITA,29 AUG 1996,GBR,1h3,"Stade de France, Paris (FRA)",04 AUG 2024,1197
96,97,22.4,0.1,Sydney MCLAUGHLIN-LEVRONE,07 AUG 1999,USA,1,"Boudewijnstadion, Bruxelles (BEL)",14 SEP 2024,1196
97,98,22.41,0.6,Anavia BATTLE,28 MAR 1999,USA,4sf2,"Hayward Field, Eugene, OR (USA)",28 JUN 2024,1195
98,98,22.41,1.4,Julien ALFRED,10 JUN 2001,LCA,1h1,"Stade de France, Paris (FRA)",04 AUG 2024,1195
99,100,22.42,-3.1,Gabrielle THOMAS,07 DEC 1996,USA,1,"Icahn Stadium, New York, NY (USA)",09 JUN 2024,1212
0,100,22.42,0.7,Mujinga KAMBUNDJI,17 JUN 1992,SUI,1,"Stadion Deutweg, Winterthur (SUI)",29 JUN 2024,1194
1,100,22.42,-0.6,Mckenzie LONG,11 JUL 2000,USA,7,"Stade de France, Paris (FRA)",06 AUG 2024,1197
2,103,22.43,-0.1,Kaila JACKSON,30 JUN 2004,USA,1sf3,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",25 MAY 2024,1193
3,104,22.44,1.5,Niesha BURGHER,08 AUG 2002,JAM,1,"Kidd Field at the University of Texas, El Paso, TX (USA)",12 MAY 2024,1192
4,104,22.44,1.2,Dennisha PAGE,,USA,2sf2,"Hayward Field, Eugene, OR (USA)",06 JUN 2024,1192
5,106,22.45,,JaMeesia FORD,26 JAN 2005,USA,1h3,"The Track at New Balance, Boston, MA (USA) (i)",08 MAR 2024,1231
6,106,22.45,-0.3,Rhasidat ADELEKE,29 AUG 2002,IRL,4,"Drake Stadium, Los Angeles, CA (USA)",18 MAY 2024,1192
7,106,22.45,0.2,Daryll NEITA,29 AUG 1996,GBR,2,"Boudewijnstadion, Bruxelles (BEL)",14 SEP 2024,1191
8,109,22.46,0.9,Jadyn MAYS,02 APR 2002,USA,1,"Potts Field, Boulder, CO (USA)",12 MAY 2024,1190
9,109,22.46,0.3,Jassani CARTER,04 NOV 2003,USA,2sf3,"Hayward Field, Eugene, OR (USA)",06 JUN 2024,1190
10,109,22.46,-0.7,Daryll NEITA,29 AUG 1996,GBR,2,"Manchester Regional Arena, Manchester (GBR)",30 JUN 2024,1194
11,109,22.46,0.4,Daryll NEITA,29 AUG 1996,GBR,3,"Stadio Olimpico, Roma (ITA)",30 AUG 2024,1190
12,113,22.47,1.7,Jadyn MAYS,02 APR 2002,USA,1pr3,"John McDonnell Field, Fayetteville, AR (USA)",23 MAY 2024,1189
13,114,22.49,,Jadyn MAYS,02 APR 2002,USA,1h1,"The Track at New Balance, Boston, MA (USA) (i)",08 MAR 2024,1227
14,114,22.49,1.5,Dajaz DEFRAND,16 OCT 2003,USA,1,"Geroge C. Griffin Track, Atlanta, GA (USA)",11 MAY 2024,1187
15,114,22.49,0.7,Mujinga KAMBUNDJI,17 JUN 1992,SUI,1,"Stadio Olimpico, Roma (ITA)",11 JUN 2024,1187
16,114,22.49,0.8,Mckenzie LONG,11 JUL 2000,USA,1h2,"Hayward Field, Eugene, OR (USA)",27 JUN 2024,1187
17,118,22.5,-0.2,Daryll NEITA,29 AUG 1996,GBR,3,"Bislett Stadion, Oslo (NOR)",30 MAY 2024,1187
18,118,22.5,0.7,Daryll NEITA,29 AUG 1996,GBR,2,"Stadio Olimpico, Roma (ITA)",11 JUN 2024,1186
19,118,22.5,0.1,Jadyn MAYS,02 APR 2002,USA,2h4,"Hayward Field, Eugene, OR (USA)",27 JUN 2024,1186
20,118,22.5,1.4,Jassani CARTER,04 NOV 2003,USA,4sf3,"Hayward Field, Eugene, OR (USA)",28 JUN 2024,1186
21,118,22.5,1.0,Jessica-Bianca WESSOLLY,11 DEC 1996,GER,1f2,"Stade de La Charrière, La Chaux-de-Fonds (SUI)",14 JUL 2024,1186
22,123,22.51,,Rosey EFFIONG,08 MAY 2001,USA,2f2,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",24 FEB 2024,1225
23,123,22.51,,Rosey EFFIONG,08 MAY 2001,USA,1h2,"The Track at New Balance, Boston, MA (USA) (i)",08 MAR 2024,1225
24,123,22.51,,Mckenzie LONG,11 JUL 2000,USA,2f2,"The Track at New Balance, Boston, MA (USA) (i)",09 MAR 2024,1225
25,123,22.51,1.0,Dina ASHER-SMITH,04 DEC 1995,GBR,1,"National Stadium, Kingston (JAM)",11 MAY 2024,1184
26,123,22.51,0.5,Daryll NEITA,29 AUG 1996,GBR,1sf1,"Stadio Olimpico, Roma (ITA)",10 JUN 2024,1184
27,123,22.51,0.4,Jessika GBAI,29 DEC 1998,CIV,4,"Stadio Olimpico, Roma (ITA)",30 AUG 2024,1184
28,129,22.52,-1.0,Kaila JACKSON,30 JUN 2004,USA,2h2,"Percy Beard Track, Gainesville, FL (USA)",09 MAY 2024,1189
29,129,22.52,0.1,Mujinga KAMBUNDJI,17 JUN 1992,SUI,1sf3,"Stadio Olimpico, Roma (ITA)",10 JUN 2024,1183
30,131,22.53,1.0,Jessika GBAI,29 DEC 1998,CIV,2,"National Stadium, Kingston (JAM)",11 MAY 2024,1182
31,131,22.53,-0.1,Dennisha PAGE,,USA,2sf3,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",25 MAY 2024,1182
32,131,22.53,0.4,Mujinga KAMBUNDJI,17 JUN 1992,SUI,5,"Stadio Olimpico, Roma (ITA)",30 AUG 2024,1182
33,134,22.54,0.6,Lanae-Tava THOMAS,28 JAN 2001,JAM,3,"Bregyó Athletic Center, Székesfehérvár (HUN)",09 JUL 2024,1181
34,134,22.54,0.0,Niesha BURGHER,08 AUG 2002,JAM,2h2,"Stade de France, Paris (FRA)",04 AUG 2024,1181
35,136,22.55,,Kaila JACKSON,30 JUN 2004,USA,2h1,"The Track at New Balance, Boston, MA (USA) (i)",08 MAR 2024,1221
36,136,22.55,0.5,Joyasia SMITH,04 AUG 2004,USA,3sf2,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",25 MAY 2024,1180
37,136,22.55,0.0,Mckenzie LONG,11 JUL 2000,USA,1h4,"Stade de France, Paris (FRA)",04 AUG 2024,1180
38,136,22.55,0.2,Helene PARISOT,17 DEC 1992,FRA,3sf2,"Stade de France, Paris (FRA)",05 AUG 2024,1180
39,140,22.56,1.4,Anavia BATTLE,28 MAR 1999,USA,2f1,"Percy Beard Track, Gainesville, FL (USA)",12 APR 2024,1179
40,140,22.56,1.2,Tima GODBLESS,14 JUL 2004,NGR,3sf2,"Hayward Field, Eugene, OR (USA)",06 JUN 2024,1179
41,142,22.57,,Jacious SEARS,14 AUG 2001,USA,1f2,"Convention Center, Albuquerque, NM (USA) (i)",02 FEB 2024,1219
42,142,22.57,0.9,Gémima JOSEPH,17 OCT 2001,FRA,1,"Stade Edmard Lama, Remire-Montjoly (FRA)",13 APR 2024,1178
43,142,22.57,0.1,Anavia BATTLE,28 MAR 1999,USA,3h4,"Hayward Field, Eugene, OR (USA)",27 JUN 2024,1178
44,142,22.57,-0.4,Jessika GBAI,29 DEC 1998,CIV,1f2,"Stadion Allmend, Luzern (SUI)",16 JUL 2024,1180
45,146,22.58,,JaMeesia FORD,26 JAN 2005,USA,1,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",26 JAN 2024,1218
46,146,22.58,,Jadyn MAYS,02 APR 2002,USA,1f1,"Convention Center, Albuquerque, NM (USA) (i)",09 FEB 2024,1218
47,146,22.58,0.9,Jayla JAMISON,06 SEP 2003,USA,2f1,"Percy Beard Track, Gainesville, FL (USA)",29 MAR 2024,1177
48,146,22.58,0.0,Julien ALFRED,10 JUN 2001,LCA,1f3,"Hilmer Lodge Stadium, Walnut, CA (USA)",20 APR 2024,1177
49,146,22.58,1.1,Dajaz DEFRAND,16 OCT 2003,USA,1f2,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",27 APR 2024,1177
50,146,22.58,1.8,Henriette JÆGER,30 JUN 2003,NOR,1f1,"Malmö Stadion, Malmö (SWE)",19 MAY 2024,1177
51,146,22.58,0.2,Jenna PRANDINI,20 NOV 1992,USA,2h3,"Hayward Field, Eugene, OR (USA)",27 JUN 2024,1177
52,146,22.58,0.6,Jenna PRANDINI,20 NOV 1992,USA,7,"Hayward Field, Eugene, OR (USA)",29 JUN 2024,1177
53,146,22.58,0.0,Bianca WILLIAMS,18 DEC 1993,GBR,4sf1,"Stade de France, Paris (FRA)",05 AUG 2024,1177
54,146,22.58,0.6,Jacqueline MADOGO,14 APR 2000,CAN,11,"Stade de France, Paris (FRA)",05 AUG 2024,1177
55,146,22.58,1.0,Anavia BATTLE,28 MAR 1999,USA,1,"Stadio Comunale, Bellinzona (SUI)",09 SEP 2024,1177
56,157,22.59,1.5,Sada WILLIAMS,01 DEC 1997,BAR,1f1,"GC Foster College, Spanish Town (JAM)",09 MAR 2024,1176
57,157,22.59,0.9,Mckenzie LONG,11 JUL 2000,USA,1h1,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",23 MAY 2024,1176
58,157,22.59,0.4,Shanoya Mikalia DOUGLAS,11 SEP 2007,JAM,1,"National Stadium, Kingston (JAM)",30 JUN 2024,1176
59,157,22.59,-0.9,Tamara CLARK,09 JAN 1999,USA,6,"Olympic Stadium, London (GBR)",20 JUL 2024,1181
60,161,22.6,,Amber ANNING,18 NOV 2000,GBR,2,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",26 JAN 2024,1216
61,161,22.6,,Mckenzie LONG,11 JUL 2000,USA,1f1,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",24 FEB 2024,1216
62,161,22.6,,Mckenzie LONG,11 JUL 2000,USA,3h1,"The Track at New Balance, Boston, MA (USA) (i)",08 MAR 2024,1216
63,161,22.6,,Jadyn MAYS,02 APR 2002,USA,3f2,"The Track at New Balance, Boston, MA (USA) (i)",09 MAR 2024,1216
64,161,22.6,1.4,Ida KARSTOFT,29 OCT 1995,DEN,3f1,"Percy Beard Track, Gainesville, FL (USA)",12 APR 2024,1175
65,161,22.6,-0.5,Thelma DAVIES,08 MAY 2000,USA,1h1,"Percy Beard Track, Gainesville, FL (USA)",09 MAY 2024,1178
66,161,22.6,1.0,Dennisha PAGE,,USA,1h5,"Percy Beard Track, Gainesville, FL (USA)",09 MAY 2024,1175
67,161,22.6,-0.2,Dejanea OAKLEY,07 APR 2004,JAM,1,"Clyde Hart Track & Field Stadium, Waco, TX (USA)",11 MAY 2024,1176
68,161,22.6,0.6,Jadyn MAYS,02 APR 2002,USA,8,"Hayward Field, Eugene, OR (USA)",29 JUN 2024,1175
69,161,22.6,1.0,Bianca WILLIAMS,18 DEC 1993,GBR,2f2,"Stade de La Charrière, La Chaux-de-Fonds (SUI)",14 JUL 2024,1175
70,161,22.6,-0.4,Lanae-Tava THOMAS,28 JAN 2001,JAM,2f2,"Stadion Allmend, Luzern (SUI)",16 JUL 2024,1177
71,172,22.61,0.0,Rhasidat ADELEKE,29 AUG 2002,IRL,2f3,"Hilmer Lodge Stadium, Walnut, CA (USA)",20 APR 2024,1174
72,172,22.61,0.9,Dennisha PAGE,,USA,1f9,"Univ. of Arizona Roy P. Drachman Stadium, Tucson, AZ (USA)",27 APR 2024,1174
73,172,22.61,-0.3,Jenna PRANDINI,20 NOV 1992,USA,5,"Drake Stadium, Los Angeles, CA (USA)",18 MAY 2024,1175
74,172,22.61,-1.7,Gémima JOSEPH,17 OCT 2001,FRA,1,"Centre sportif Bout-du-Monde, Genève (SUI)",22 JUN 2024,1184
75,172,22.61,1.4,Candace HILL,11 FEB 1999,USA,5sf3,"Hayward Field, Eugene, OR (USA)",28 JUN 2024,1174
76,172,22.61,-0.4,Mujinga KAMBUNDJI,17 JUN 1992,SUI,3f2,"Stadion Allmend, Luzern (SUI)",16 JUL 2024,1176
77,172,22.61,0.0,Jessika GBAI,29 DEC 1998,CIV,2h4,"Stade de France, Paris (FRA)",04 AUG 2024,1174
78,172,22.61,0.2,Anavia BATTLE,28 MAR 1999,USA,3,"Boudewijnstadion, Bruxelles (BEL)",14 SEP 2024,1174
79,180,22.62,,Nickisha PRYCE,07 MAR 2001,JAM,2f1,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",24 FEB 2024,1214
80,180,22.62,0.2,Daryll NEITA,29 AUG 1996,GBR,1,"Suzhou Olympic Sports Centre, Suzhou (CHN)",27 APR 2024,1173
81,180,22.62,0.9,Jassani CARTER,04 NOV 2003,USA,2,"Potts Field, Boulder, CO (USA)",12 MAY 2024,1173
82,180,22.62,0.8,JaMeesia FORD,26 JAN 2005,USA,1h5,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",23 MAY 2024,1173
83,180,22.62,1.8,Twanisha TERRY,24 JAN 1999,USA,4sf1,"Hayward Field, Eugene, OR (USA)",28 JUN 2024,1173
84,180,22.62,-0.3,Gémima JOSEPH,17 OCT 2001,FRA,1,"Stade Josette et Roger Mikulak, Angers (FRA)",30 JUN 2024,1174
85,180,22.62,1.9,Tasa JIYA,16 SEP 1997,NED,1,"FBK Stadium, Hengelo (NED)",30 JUN 2024,1173
86,180,22.62,-0.2,Candace HILL,11 FEB 1999,USA,2,"Percy Beard Track, Gainesville, FL (USA)",19 JUL 2024,1174
87,180,22.62,0.7,Jenna PRANDINI,20 NOV 1992,USA,4,"Icahn Stadium, New York, NY (USA)",26 SEP 2024,1173
88,189,22.63,,Kaila JACKSON,30 JUN 2004,USA,1f1,"The Track at New Balance, Boston, MA (USA) (i)",09 MAR 2024,1213
89,189,22.63,-0.1,Tima GODBLESS,14 JUL 2004,NGR,3sf3,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",25 MAY 2024,1172
90,189,22.63,0.7,Helene PARISOT,17 DEC 1992,FRA,3,"Stadio Olimpico, Roma (ITA)",11 JUN 2024,1172
91,189,22.63,0.2,Mujinga KAMBUNDJI,17 JUN 1992,SUI,4sf2,"Stade de France, Paris (FRA)",05 AUG 2024,1172
92,193,22.64,,Femke BOL,23 FEB 2000,NED,1f2,"L'Anneau-Halle d'athlétisme de Metz, Metz (FRA) (i)",03 FEB 2024,1212
