"",Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,21.78,1.4,Gabrielle THOMAS,07 DEC 1996,USA,1sf3,"Hayward Field, Eugene, OR (USA)",28 JUN 2024,1261
1,2,21.81,0.6,Gabrielle THOMAS,07 DEC 1996,USA,1,"Hayward Field, Eugene, OR (USA)",29 JUN 2024,1258
2,3,21.82,-0.9,Gabrielle THOMAS,07 DEC 1996,USA,1,"Olympic Stadium, London (GBR)",20 JUL 2024,1262
3,4,21.83,1.0,Mckenzie LONG,11 JUL 2000,USA,1,"Hayward Field, Eugene, OR (USA)",08 JUN 2024,1256
4,4,21.83,-0.6,Gabrielle THOMAS,07 DEC 1996,USA,1,"Stade de France, Paris (FRA)",06 AUG 2024,1259
5,6,21.86,-0.9,Julien ALFRED,10 JUN 2001,LCA,2,"Olympic Stadium, London (GBR)",20 JUL 2024,1257
6,6,21.86,0.2,Gabrielle THOMAS,07 DEC 1996,USA,1sf2,"Stade de France, Paris (FRA)",05 AUG 2024,1252
7,8,21.9,0.6,Brittany BROWN,18 APR 1995,USA,2,"Hayward Field, Eugene, OR (USA)",29 JUN 2024,1248
8,9,21.91,0.6,Mckenzie LONG,11 JUL 2000,USA,3,"Hayward Field, Eugene, OR (USA)",29 JUN 2024,1247
9,10,21.92,1.8,Sha'Carri RICHARDSON,25 MAR 2000,USA,1sf1,"Hayward Field, Eugene, OR (USA)",28 JUN 2024,1246
10,11,21.95,0.3,Mckenzie LONG,11 JUL 2000,USA,1sf3,"Hayward Field, Eugene, OR (USA)",06 JUN 2024,1243
11,12,21.98,0.0,Julien ALFRED,10 JUN 2001,LCA,1sf1,"Stade de France, Paris (FRA)",05 AUG 2024,1240
12,13,21.99,0.5,Sha'Carri RICHARDSON,25 MAR 2000,USA,1h1,"Hayward Field, Eugene, OR (USA)",27 JUN 2024,1239
13,14,22.0,0.4,Brittany BROWN,18 APR 1995,USA,1,"Stadio Olimpico, Roma (ITA)",30 AUG 2024,1238
14,15,22.01,0.6,Mckenzie LONG,11 JUL 2000,USA,1sf2,"Hayward Field, Eugene, OR (USA)",28 JUN 2024,1237
15,16,22.03,0.6,Mckenzie LONG,11 JUL 2000,USA,1,"Percy Beard Track, Gainesville, FL (USA)",11 MAY 2024,1234
16,16,22.03,1.4,Abby STEINER,24 NOV 1999,USA,2sf3,"Hayward Field, Eugene, OR (USA)",28 JUN 2024,1234
17,18,22.05,0.0,Favour OFILI,31 DEC 2002,NGR,2sf1,"Stade de France, Paris (FRA)",05 AUG 2024,1232
18,19,22.07,-0.3,Sydney MCLAUGHLIN-LEVRONE,07 AUG 1999,USA,1,"Drake Stadium, Los Angeles, CA (USA)",18 MAY 2024,1231
19,19,22.07,-0.9,Dina ASHER-SMITH,04 DEC 1995,GBR,3,"Olympic Stadium, London (GBR)",20 JUL 2024,1235
20,21,22.08,1.2,Gabrielle THOMAS,07 DEC 1996,USA,1f2,"Mike A. Myers Stadium, Austin, TX (USA)",30 MAR 2024,1229
21,21,22.08,1.0,JaMeesia FORD,26 JAN 2005,USA,2,"Hayward Field, Eugene, OR (USA)",08 JUN 2024,1229
22,21,22.08,0.6,Brittany BROWN,18 APR 1995,USA,2sf2,"Hayward Field, Eugene, OR (USA)",28 JUN 2024,1229
