"",Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
73,74,54.02,,Rachel GLENN,17 APR 2002,USA,1h1,"Percy Beard Track, Gainesville, FL (USA)",09 MAY 2024,1204
74,74,54.02,,Rushell CLAYTON,18 OCT 1992,JAM,1,"Bislett Stadion, Oslo (NOR)",30 MAY 2024,1204
75,76,54.04,,Savannah SUTHERLAND,07 AUG 2003,CAN,1sf3,"Hayward Field, Eugene, OR (USA)",06 JUN 2024,1203
76,77,54.07,,Shamier LITTLE,20 MAR 1995,USA,3,"Letzigrund, Zürich (SUI)",05 SEP 2024,1202
77,78,54.09,,Andrenette KNIGHT,19 NOV 1996,JAM,2h2,"National Stadium, Kingston (JAM)",27 JUN 2024,1201
78,79,54.11,,Rachel GLENN,17 APR 2002,USA,3,"Hayward Field, Eugene, OR (USA)",08 JUN 2024,1201
79,80,54.12,,Rogail JOSEPH,22 APR 2000,RSA,3sf2,"Stade de France, Paris (FRA)",06 AUG 2024,1200
80,81,54.13,,Kemi ADEKOYA,16 JAN 1993,BRN,1,"Bregyó Athletic Center, Székesfehérvár (HUN)",09 JUL 2024,1200
81,82,54.15,,Jessie KNIGHT,15 JUN 1994,GBR,5,"Olympic Stadium, London (GBR)",20 JUL 2024,1199
82,82,54.15,,Shamier LITTLE,20 MAR 1995,USA,3,"Stadio Olimpico, Roma (ITA)",30 AUG 2024,1199
83,84,54.16,,Femke BOL,23 FEB 2000,NED,1sf2,"Stadio Olimpico, Roma (ITA)",10 JUN 2024,1199
84,84,54.16,,Dalilah MUHAMMAD,07 FEB 1990,USA,2sf1,"Hayward Field, Eugene, OR (USA)",29 JUN 2024,1199
85,86,54.2,,Jasmine JONES,30 NOV 2001,USA,1sf2,"Hayward Field, Eugene, OR (USA)",06 JUN 2024,1198
86,87,54.23,,Louise MARAVAL,31 JUL 2001,FRA,2,"Stadio Olimpico, Roma (ITA)",11 JUN 2024,1197
87,88,54.27,,Shiann SALMON,31 MAR 1999,JAM,2,"Le Grand Stade, Marrakech (MAR)",19 MAY 2024,1196
88,88,54.27,,Dalilah MUHAMMAD,07 FEB 1990,USA,6,"Hayward Field, Eugene, OR (USA)",30 JUN 2024,1196
89,90,54.31,,Cathelijn PEETERS,06 NOV 1996,NED,1,"Mestský Stadion, Ostrava (CZE)",28 MAY 2024,1194
90,91,54.32,,Cathelijn PEETERS,06 NOV 1996,NED,1f1,"Boudewijnstadion, Bruxelles (BEL)",26 MAY 2024,1194
91,91,54.32,,Rushell CLAYTON,18 OCT 1992,JAM,1h1,"Stade de France, Paris (FRA)",04 AUG 2024,1194
92,93,54.36,,Louise MARAVAL,31 JUL 2001,FRA,1sf1,"Stadio Olimpico, Roma (ITA)",10 JUN 2024,1193
93,94,54.37,,Cathelijn PEETERS,06 NOV 1996,NED,3,"Stadio Olimpico, Roma (ITA)",11 JUN 2024,1192
94,94,54.37,,Kemi ADEKOYA,16 JAN 1993,BRN,1,"Paavo Nurmen Stadion, Turku (FIN)",18 JUN 2024,1192
95,94,54.37,,Andrenette KNIGHT,19 NOV 1996,JAM,4,"National Stadium, Kingston (JAM)",28 JUN 2024,1192
96,97,54.43,,Lina NIELSEN,13 MAR 1996,GBR,2sf1,"Stadio Olimpico, Roma (ITA)",10 JUN 2024,1191
97,98,54.44,,Louise MARAVAL,31 JUL 2001,FRA,1,"Stade Delort, Marseille (FRA)",22 MAY 2024,1190
98,98,54.44,,Akala GARRETT,10 MAY 2005,USA,2sf3,"Hayward Field, Eugene, OR (USA)",06 JUN 2024,1190
99,100,54.46,,Janieve RUSSELL,14 NOV 1993,JAM,4,"Stadio Olimpico, Roma (ITA)",30 AUG 2024,1190
0,101,54.48,,Janieve RUSSELL,14 NOV 1993,JAM,3,"Stade Olympique de la Pontaise, Lausanne (SUI)",22 AUG 2024,1189
1,102,54.5,,Cathelijn PEETERS,06 NOV 1996,NED,6,"Olympic Stadium, London (GBR)",20 JUL 2024,1188
2,102,54.5,,Shiann SALMON,31 MAR 1999,JAM,7,"Olympic Stadium, London (GBR)",20 JUL 2024,1188
3,104,54.52,,Ayomide FOLORUNSO,17 OCT 1996,ITA,3sf1,"Stadio Olimpico, Roma (ITA)",10 JUN 2024,1188
4,105,54.53,,Louise MARAVAL,31 JUL 2001,FRA,8,"Stade de France, Paris (FRA)",08 AUG 2024,1187
5,106,54.54,,Rushell CLAYTON,18 OCT 1992,JAM,1h1,"National Stadium, Kingston (JAM)",27 JUN 2024,1187
6,107,54.56,,Line KLOSTER,27 FEB 1990,NOR,1sf3,"Stadio Olimpico, Roma (ITA)",10 JUN 2024,1186
7,107,54.56,,Rogail JOSEPH,22 APR 2000,RSA,2h2,"Stade de France, Paris (FRA)",04 AUG 2024,1186
8,109,54.57,,Shiann SALMON,31 MAR 1999,JAM,3,"National Stadium, Kingston (JAM)",11 MAY 2024,1186
9,110,54.59,,Nikoleta JÍCHOVÁ,29 AUG 2000,CZE,2sf2,"Stadio Olimpico, Roma (ITA)",10 JUN 2024,1186
10,110,54.59,,Jessie KNIGHT,15 JUN 1994,GBR,1f2,"Stade de La Charrière, La Chaux-de-Fonds (SUI)",14 JUL 2024,1186
11,112,54.61,,Savannah SUTHERLAND,07 AUG 2003,CAN,1h5,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",23 MAY 2024,1185
12,113,54.62,,Andrenette KNIGHT,19 NOV 1996,JAM,3,"Olympiastadion, Stockholm (SWE)",02 JUN 2024,1185
13,114,54.63,,Andrenette KNIGHT,19 NOV 1996,JAM,2,"Bislett Stadion, Oslo (NOR)",30 MAY 2024,1184
14,115,54.64,,Paulien COUCKUYT,19 MAY 1997,BEL,5sf3,"Stade de France, Paris (FRA)",06 AUG 2024,1184
15,116,54.65,,Fatoumata Binta DIALLO,06 APR 2000,POR,4sf1,"Stadio Olimpico, Roma (ITA)",10 JUN 2024,1184
16,116,54.65,,Lina NIELSEN,13 MAR 1996,GBR,8,"Olympic Stadium, London (GBR)",20 JUL 2024,1184
17,116,54.65,,Lina NIELSEN,13 MAR 1996,GBR,2h4,"Stade de France, Paris (FRA)",04 AUG 2024,1184
18,116,54.65,,Janieve RUSSELL,14 NOV 1993,JAM,4sf2,"Stade de France, Paris (FRA)",06 AUG 2024,1184
19,120,54.66,,Cathelijn PEETERS,06 NOV 1996,NED,2sf3,"Stadio Olimpico, Roma (ITA)",10 JUN 2024,1183
20,120,54.66,,Cassandra TATE,11 SEP 1990,USA,3sf1,"Hayward Field, Eugene, OR (USA)",29 JUN 2024,1183
21,122,54.67,,Ayomide FOLORUNSO,17 OCT 1996,ITA,3f1,"Stade de La Charrière, La Chaux-de-Fonds (SUI)",14 JUL 2024,1183
22,122,54.67,,Janieve RUSSELL,14 NOV 1993,JAM,3h4,"Stade de France, Paris (FRA)",04 AUG 2024,1183
23,124,54.69,,Andrenette KNIGHT,19 NOV 1996,JAM,2,"Drake Stadium, Los Angeles, CA (USA)",18 MAY 2024,1182
24,125,54.71,,Anna COCKRELL,28 AUG 1997,USA,1h3,"Hayward Field, Eugene, OR (USA)",27 JUN 2024,1182
25,126,54.72,,Zenéy GELDENHUYS,22 MAY 2000,RSA,1,"Msunduzi Athletics Stadium, Pietermaritzburg (RSA)",19 APR 2024,1181
26,126,54.72,,Cassandra TATE,11 SEP 1990,USA,1f2,"Stadion Allmend, Luzern (SUI)",16 JUL 2024,1181
27,128,54.73,,Akala GARRETT,10 MAY 2005,USA,1,"Clyde Hart Track & Field Stadium, Waco, TX (USA)",11 MAY 2024,1181
28,128,54.73,,Lina NIELSEN,13 MAR 1996,GBR,1,"Stadion Śląski, Chorzów (POL)",18 MAY 2024,1181
29,128,54.73,,Alice MURARO,14 AUG 2000,ITA,3sf3,"Stadio Olimpico, Roma (ITA)",10 JUN 2024,1181
30,128,54.73,,Zenéy GELDENHUYS,22 MAY 2000,RSA,3h3,"Stade de France, Paris (FRA)",04 AUG 2024,1181
31,132,54.74,,Anna COCKRELL,28 AUG 1997,USA,1f1,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",27 APR 2024,1181
32,133,54.75,,Fatoumata Binta DIALLO,06 APR 2000,POR,2h1,"Stade de France, Paris (FRA)",04 AUG 2024,1181
33,133,54.75,,Jiadie MO,06 JAN 2000,CHN,12,"Stade de France, Paris (FRA)",05 AUG 2024,1181
34,133,54.75,,Janieve RUSSELL,14 NOV 1993,JAM,4,"Letzigrund, Zürich (SUI)",05 SEP 2024,1181
35,136,54.77,,Yasmin GIGER,06 NOV 1999,SUI,1,"Stadion Deutweg, Winterthur (SUI)",29 JUN 2024,1180
36,137,54.78,,Jiadie MO,06 JAN 2000,CHN,1f3,"Prefectural Shizuoka Stadium, Fukuroi (JPN)",03 MAY 2024,1180
37,138,54.8,,Naomi VAN DEN BROECK,03 JAN 1996,BEL,1,"Boudewijnstadion, Bruxelles (BEL)",30 JUN 2024,1179
38,138,54.8,,Savannah SUTHERLAND,07 AUG 2003,CAN,3h2,"Stade de France, Paris (FRA)",04 AUG 2024,1179
39,138,54.8,,Hanne CLAES,04 AUG 1991,BEL,4h4,"Stade de France, Paris (FRA)",04 AUG 2024,1179
40,138,54.8,,Eileen DEMES,13 OCT 1997,GER,1f1,"Sportanlage Wisacher, Regensdorf (SUI)",24 AUG 2024,1179
41,142,54.81,,Lina NIELSEN,13 MAR 1996,GBR,2,"Mestský Stadion, Ostrava (CZE)",28 MAY 2024,1179
42,142,54.81,,Lina NIELSEN,13 MAR 1996,GBR,1,"Manchester Regional Arena, Manchester (GBR)",30 JUN 2024,1179
43,144,54.82,,Hanne CLAES,04 AUG 1991,BEL,2,"Boudewijnstadion, Bruxelles (BEL)",30 JUN 2024,1178
44,144,54.82,,Amalie IUEL,17 APR 1994,NOR,3h1,"Stade de France, Paris (FRA)",04 AUG 2024,1178
45,146,54.84,,Rogail JOSEPH,22 APR 2000,RSA,2,"Msunduzi Athletics Stadium, Pietermaritzburg (RSA)",19 APR 2024,1178
46,146,54.84,,Akala GARRETT,10 MAY 2005,USA,4,"Hayward Field, Eugene, OR (USA)",08 JUN 2024,1178
47,146,54.84,,Cathelijn PEETERS,06 NOV 1996,NED,4h1,"Stade de France, Paris (FRA)",04 AUG 2024,1178
48,146,54.84,,Shana GREBO,09 NOV 2000,FRA,4sf1,"Stade de France, Paris (FRA)",06 AUG 2024,1178
49,150,54.86,,Savannah SUTHERLAND,07 AUG 2003,CAN,1f1,"Percy Beard Track, Gainesville, FL (USA)",12 APR 2024,1177
50,150,54.86,,Alice MURARO,14 AUG 2000,ITA,2,"Stade Delort, Marseille (FRA)",22 MAY 2024,1177
51,150,54.86,,Zenéy GELDENHUYS,22 MAY 2000,RSA,2,"Bregyó Athletic Center, Székesfehérvár (HUN)",09 JUL 2024,1177
52,150,54.86,,Elena KELETY,04 SEP 1999,GER,1,"Heinz-Steyer-Stadion, Dresden (GER)",30 AUG 2024,1177
53,154,54.88,,Nikoleta JÍCHOVÁ,29 AUG 2000,CZE,1h3,"Stadio Olimpico, Roma (ITA)",09 JUN 2024,1176
54,154,54.88,,Amalie IUEL,17 APR 1994,NOR,5sf1,"Stade de France, Paris (FRA)",06 AUG 2024,1176
55,156,54.89,,Amalie IUEL,17 APR 1994,NOR,1,"Nyayo National Stadium, Nairobi (KEN)",20 APR 2024,1176
56,156,54.89,,Amalie IUEL,17 APR 1994,NOR,3sf2,"Stadio Olimpico, Roma (ITA)",10 JUN 2024,1176
57,158,54.9,,Paulien COUCKUYT,19 MAY 1997,BEL,4h2,"Stade de France, Paris (FRA)",04 AUG 2024,1176
58,158,54.9,,Jessie KNIGHT,15 JUN 1994,GBR,6sf3,"Stade de France, Paris (FRA)",06 AUG 2024,1176
59,158,54.9,,Andrenette KNIGHT,19 NOV 1996,JAM,5,"Stadio Olimpico, Roma (ITA)",30 AUG 2024,1176
60,161,54.91,,Rachel GLENN,17 APR 2002,USA,2f1,"Percy Beard Track, Gainesville, FL (USA)",12 APR 2024,1176
61,161,54.91,,Nikoleta JÍCHOVÁ,29 AUG 2000,CZE,4,"Stadio Olimpico, Roma (ITA)",11 JUN 2024,1176
62,161,54.91,,Shana GREBO,09 NOV 2000,FRA,13,"Stade de France, Paris (FRA)",05 AUG 2024,1176
63,164,54.92,,Viivi LEHIKOINEN,27 AUG 1999,FIN,4sf2,"Stadio Olimpico, Roma (ITA)",10 JUN 2024,1175
64,164,54.92,,Ayomide FOLORUNSO,17 OCT 1996,ITA,5sf2,"Stade de France, Paris (FRA)",06 AUG 2024,1175
65,164,54.92,,Nikoleta JÍCHOVÁ,29 AUG 2000,CZE,7,"Stadion Śląski, Chorzów (POL)",25 AUG 2024,1175
66,167,54.93,,Shana GREBO,09 NOV 2000,FRA,1f2,"Piste Ben Leduc, Montréal (CAN)",21 JUN 2024,1175
67,167,54.93,,Shamier LITTLE,20 MAR 1995,USA,1h5,"Hayward Field, Eugene, OR (USA)",27 JUN 2024,1175
68,167,54.93,,Fatoumata Binta DIALLO,06 APR 2000,POR,6sf2,"Stade de France, Paris (FRA)",06 AUG 2024,1175
69,167,54.93,,Andrenette KNIGHT,19 NOV 1996,JAM,4,"Stade Olympique de la Pontaise, Lausanne (SUI)",22 AUG 2024,1175
70,171,54.94,,Paulien COUCKUYT,19 MAY 1997,BEL,3,"Boudewijnstadion, Bruxelles (BEL)",30 JUN 2024,1175
71,171,54.94,,Gianna WOODRUFF,18 NOV 1993,PAN,5h2,"Stade de France, Paris (FRA)",04 AUG 2024,1175
72,171,54.94,,Naomi VAN DEN BROECK,03 JAN 1996,BEL,6sf1,"Stade de France, Paris (FRA)",06 AUG 2024,1175
73,174,54.95,,Anna RYZHYKOVA,24 NOV 1989,UKR,5sf2,"Stadio Olimpico, Roma (ITA)",10 JUN 2024,1174
74,174,54.95,,Anna RYZHYKOVA,24 NOV 1989,UKR,23,"Stade de France, Paris (FRA)",05 AUG 2024,1174
75,176,54.96,,Sarah CARLI,05 SEP 1994,AUS,1,"SA Athletic Stadium, Adelaide (AUS)",14 APR 2024,1174
76,177,54.99,,Janieve RUSSELL,14 NOV 1993,JAM,4,"Olympiastadion, Stockholm (SWE)",02 JUN 2024,1173
77,177,54.99,,Linda OLIVIERI,14 JUL 1998,ITA,6sf2,"Stadio Olimpico, Roma (ITA)",10 JUN 2024,1173
78,179,55.0,,Sydni TOWNSEND,17 MAR 2000,USA,2,"Clyde Hart Track & Field Stadium, Waco, TX (USA)",11 MAY 2024,1173
79,179,55.0,,Naomi VAN DEN BROECK,03 JAN 1996,BEL,1h3,"Boudewijnstadion, Bruxelles (BEL)",29 JUN 2024,1173
80,179,55.0,,Ayomide FOLORUNSO,17 OCT 1996,ITA,6,"Stadio Olimpico, Roma (ITA)",30 AUG 2024,1173
81,182,55.01,,Savannah SUTHERLAND,07 AUG 2003,CAN,1,"University of Michigan Outdoor Track Stadium, Ann Arbor, MI (USA)",12 MAY 2024,1172
82,182,55.01,,Sydni TOWNSEND,17 MAR 2000,USA,5,"Hayward Field, Eugene, OR (USA)",08 JUN 2024,1172
83,182,55.01,,Akala GARRETT,10 MAY 2005,USA,7,"Hayward Field, Eugene, OR (USA)",30 JUN 2024,1172
84,185,55.02,,Cassandra TATE,11 SEP 1990,USA,3,"Drake Stadium, Los Angeles, CA (USA)",18 MAY 2024,1172
85,186,55.03,,Noura ENNADI,05 APR 1999,MAR,3,"Stade Delort, Marseille (FRA)",22 MAY 2024,1172
86,186,55.03,,Rachel GLENN,17 APR 2002,USA,1h4,"Hayward Field, Eugene, OR (USA)",27 JUN 2024,1172
87,186,55.03,,Rogail JOSEPH,22 APR 2000,RSA,2f2,"Stade de La Charrière, La Chaux-de-Fonds (SUI)",14 JUL 2024,1172
88,186,55.03,,Ayomide FOLORUNSO,17 OCT 1996,ITA,6h2,"Stade de France, Paris (FRA)",04 AUG 2024,1172
89,190,55.05,,Yasmin GIGER,06 NOV 1999,SUI,5sf1,"Stadio Olimpico, Roma (ITA)",10 JUN 2024,1171
90,190,55.05,,Elena KELETY,04 SEP 1999,GER,1f1,"AtletiekArena Gaston Roelants Kessel-Lo / Hal 5, Leuven (BEL)",27 JUL 2024,1171
91,192,55.06,,Hanne CLAES,04 AUG 1991,BEL,2,"Heinz-Steyer-Stadion, Dresden (GER)",30 AUG 2024,1171
92,193,55.07,,Janieve RUSSELL,14 NOV 1993,JAM,3,"Bislett Stadion, Oslo (NOR)",30 MAY 2024,1171
93,193,55.07,,Ayomide FOLORUNSO,17 OCT 1996,ITA,11,"Stade de France, Paris (FRA)",05 AUG 2024,1171
94,195,55.08,,Ayomide FOLORUNSO,17 OCT 1996,ITA,5,"Stade Olympique de la Pontaise, Lausanne (SUI)",22 AUG 2024,1170
95,196,55.09,,Anna RYZHYKOVA,24 NOV 1989,UKR,3,"Le Grand Stade, Marrakech (MAR)",19 MAY 2024,1170
96,196,55.09,,Elena KELETY,04 SEP 1999,GER,1,"Gerard Bontinckstadion, Sint-Niklaas (BEL)",03 AUG 2024,1170
97,196,55.09,,Linda ANGOUNOU,23 SEP 1992,CMR,33,"Stade de France, Paris (FRA)",05 AUG 2024,1170
98,199,55.1,,Jessie KNIGHT,15 JUN 1994,GBR,22,"Stade de France, Paris (FRA)",05 AUG 2024,1170
99,199,55.1,,Gianna WOODRUFF,18 NOV 1993,PAN,32,"Stade de France, Paris (FRA)",05 AUG 2024,1170
0,201,55.11,,Alanah YUKICH,27 JAN 1998,AUS,21,"Stade de France, Paris (FRA)",05 AUG 2024,1169
1,201,55.11,,Naomi VAN DEN BROECK,03 JAN 1996,BEL,21,"Stade de France, Paris (FRA)",05 AUG 2024,1169
2,203,55.12,,Gabrielle MATTHEWS,14 OCT 2002,JAM,1,"Percy Beard Track, Gainesville, FL (USA)",11 MAY 2024,1169
3,203,55.12,,Sarah CARLI,05 SEP 1994,AUS,43,"Stade de France, Paris (FRA)",05 AUG 2024,1169
4,205,55.13,,Alice MURARO,14 AUG 2000,ITA,1,"Campo Montagna, La Spezia (ITA)",30 JUN 2024,1169
