"",Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,50.37,,Sydney MCLAUGHLIN-LEVRONE,07 AUG 1999,USA,1,"Stade de France, Paris (FRA)",08 AUG 2024,1322
1,2,50.65,,Sydney MCLAUGHLIN-LEVRONE,07 AUG 1999,USA,1,"Hayward Field, Eugene, OR (USA)",30 JUN 2024,1313
2,3,50.95,,Femke BOL,23 FEB 2000,NED,1f1,"Stade de La Charrière, La Chaux-de-Fonds (SUI)",14 JUL 2024,1303
3,4,51.3,,Femke BOL,23 FEB 2000,NED,1,"Olympic Stadium, London (GBR)",20 JUL 2024,1291
4,5,51.87,,Anna COCKRELL,28 AUG 1997,USA,2,"Stade de France, Paris (FRA)",08 AUG 2024,1273
5,6,52.13,,Sydney MCLAUGHLIN-LEVRONE,07 AUG 1999,USA,1sf2,"Stade de France, Paris (FRA)",06 AUG 2024,1264
6,6,52.13,,Femke BOL,23 FEB 2000,NED,1,"Stadion Śląski, Chorzów (POL)",25 AUG 2024,1264
7,8,52.15,,Femke BOL,23 FEB 2000,NED,3,"Stade de France, Paris (FRA)",08 AUG 2024,1264
8,9,52.25,,Femke BOL,23 FEB 2000,NED,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",22 AUG 2024,1260
9,10,52.29,,Jasmine JONES,30 NOV 2001,USA,4,"Stade de France, Paris (FRA)",08 AUG 2024,1259
10,11,52.45,,Femke BOL,23 FEB 2000,NED,1,"Boudewijnstadion, Bruxelles (BEL)",14 SEP 2024,1254
11,12,52.48,,Sydney MCLAUGHLIN-LEVRONE,07 AUG 1999,USA,1sf1,"Hayward Field, Eugene, OR (USA)",29 JUN 2024,1253
12,13,52.49,,Femke BOL,23 FEB 2000,NED,1,"Stadio Olimpico, Roma (ITA)",11 JUN 2024,1253
13,14,52.51,,Rushell CLAYTON,18 OCT 1992,JAM,1,"National Stadium, Kingston (JAM)",28 JUN 2024,1252
14,15,52.57,,Femke BOL,23 FEB 2000,NED,1sf3,"Stade de France, Paris (FRA)",06 AUG 2024,1250
15,16,52.59,,Anna COCKRELL,28 AUG 1997,USA,1,"Stadio Olimpico, Roma (ITA)",30 AUG 2024,1249
16,17,52.64,,Anna COCKRELL,28 AUG 1997,USA,2,"Hayward Field, Eugene, OR (USA)",30 JUN 2024,1248
17,18,52.68,,Rushell CLAYTON,18 OCT 1992,JAM,5,"Stade de France, Paris (FRA)",08 AUG 2024,1246
18,19,52.7,,Sydney MCLAUGHLIN-LEVRONE,07 AUG 1999,USA,1,"Edwin Moses Track, Atlanta, GA (USA)",31 MAY 2024,1246
19,20,52.77,,Jasmine JONES,30 NOV 2001,USA,3,"Hayward Field, Eugene, OR (USA)",30 JUN 2024,1243
20,21,52.78,,Shamier LITTLE,20 MAR 1995,USA,2,"Olympic Stadium, London (GBR)",20 JUL 2024,1243
21,22,52.88,,Anna COCKRELL,28 AUG 1997,USA,2,"Stadion Śląski, Chorzów (POL)",25 AUG 2024,1240
22,23,52.9,,Anna COCKRELL,28 AUG 1997,USA,2sf3,"Stade de France, Paris (FRA)",06 AUG 2024,1239
23,24,52.95,,Anna COCKRELL,28 AUG 1997,USA,1sf3,"Hayward Field, Eugene, OR (USA)",29 JUN 2024,1238
24,25,52.97,,Shiann SALMON,31 MAR 1999,JAM,1,"Letzigrund, Zürich (SUI)",05 SEP 2024,1237
25,26,52.98,,Shamier LITTLE,20 MAR 1995,USA,4,"Hayward Field, Eugene, OR (USA)",30 JUN 2024,1237
26,27,53.0,,Rushell CLAYTON,18 OCT 1992,JAM,1sf1,"Stade de France, Paris (FRA)",06 AUG 2024,1236
27,28,53.07,,Femke BOL,23 FEB 2000,NED,1,"Olympiastadion, Stockholm (SWE)",02 JUN 2024,1234
28,28,53.07,,Sydney MCLAUGHLIN-LEVRONE,07 AUG 1999,USA,1h1,"Hayward Field, Eugene, OR (USA)",27 JUN 2024,1234
29,30,53.11,,Rushell CLAYTON,18 OCT 1992,JAM,3,"Stadion Śląski, Chorzów (POL)",25 AUG 2024,1233
30,31,53.13,,Shiann SALMON,31 MAR 1999,JAM,3sf3,"Stade de France, Paris (FRA)",06 AUG 2024,1232
31,32,53.15,,Jasmine JONES,30 NOV 2001,USA,1,"Hayward Field, Eugene, OR (USA)",08 JUN 2024,1231
32,32,53.15,,Shiann SALMON,31 MAR 1999,JAM,4,"Stadion Śląski, Chorzów (POL)",25 AUG 2024,1231
33,34,53.17,,Anna COCKRELL,28 AUG 1997,USA,2,"Letzigrund, Zürich (SUI)",05 SEP 2024,1231
34,35,53.2,,Shiann SALMON,31 MAR 1999,JAM,2,"Stadio Olimpico, Roma (ITA)",30 AUG 2024,1230
35,36,53.24,,Rushell CLAYTON,18 OCT 1992,JAM,3,"Olympic Stadium, London (GBR)",20 JUL 2024,1228
36,37,53.26,,Savannah SUTHERLAND,07 AUG 2003,CAN,2,"Hayward Field, Eugene, OR (USA)",08 JUN 2024,1228
37,38,53.29,,Shiann SALMON,31 MAR 1999,JAM,6,"Stade de France, Paris (FRA)",08 AUG 2024,1227
38,39,53.32,,Rushell CLAYTON,18 OCT 1992,JAM,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",22 AUG 2024,1226
39,40,53.33,,Janieve RUSSELL,14 NOV 1993,JAM,2,"National Stadium, Kingston (JAM)",28 JUN 2024,1226
40,41,53.38,,Femke BOL,23 FEB 2000,NED,1h3,"Stade de France, Paris (FRA)",04 AUG 2024,1224
41,42,53.41,,Kemi ADEKOYA,16 JAN 1993,BRN,2f1,"Stade de La Charrière, La Chaux-de-Fonds (SUI)",14 JUL 2024,1223
42,43,53.46,,Rachel GLENN,17 APR 2002,USA,5,"Hayward Field, Eugene, OR (USA)",30 JUN 2024,1221
43,44,53.49,,Shamier LITTLE,20 MAR 1995,USA,1sf2,"Hayward Field, Eugene, OR (USA)",29 JUN 2024,1220
44,45,53.59,,Janieve RUSSELL,14 NOV 1993,JAM,5,"Stadion Śląski, Chorzów (POL)",25 AUG 2024,1217
45,46,53.6,,Jasmine JONES,30 NOV 2001,USA,1h2,"Stade de France, Paris (FRA)",04 AUG 2024,1217
46,46,53.6,,Sydney MCLAUGHLIN-LEVRONE,07 AUG 1999,USA,1h5,"Stade de France, Paris (FRA)",04 AUG 2024,1217
47,48,53.66,,Jasmine JONES,30 NOV 2001,USA,2sf3,"Hayward Field, Eugene, OR (USA)",29 JUN 2024,1215
48,49,53.68,,Rachel GLENN,17 APR 2002,USA,2sf2,"Hayward Field, Eugene, OR (USA)",29 JUN 2024,1214
49,49,53.68,,Andrenette KNIGHT,19 NOV 1996,JAM,6,"Stadion Śląski, Chorzów (POL)",25 AUG 2024,1214
50,51,53.69,,Andrenette KNIGHT,19 NOV 1996,JAM,4,"Olympic Stadium, London (GBR)",20 JUL 2024,1214
51,52,53.71,,Shiann SALMON,31 MAR 1999,JAM,3,"National Stadium, Kingston (JAM)",28 JUN 2024,1213
52,52,53.71,,Louise MARAVAL,31 JUL 2001,FRA,1,"Stade Josette et Roger Mikulak, Angers (FRA)",30 JUN 2024,1213
53,52,53.71,,Anna COCKRELL,28 AUG 1997,USA,2,"Boudewijnstadion, Bruxelles (BEL)",14 SEP 2024,1213
54,55,53.72,,Rushell CLAYTON,18 OCT 1992,JAM,1,"National Stadium, Kingston (JAM)",11 MAY 2024,1213
55,56,53.75,,Anna COCKRELL,28 AUG 1997,USA,1,"Drake Stadium, Los Angeles, CA (USA)",18 MAY 2024,1212
56,57,53.76,,Anna COCKRELL,28 AUG 1997,USA,2,"National Stadium, Kingston (JAM)",11 MAY 2024,1212
57,58,53.78,,Rushell CLAYTON,18 OCT 1992,JAM,2,"Olympiastadion, Stockholm (SWE)",02 JUN 2024,1211
58,58,53.78,,Shana GREBO,09 NOV 2000,FRA,2,"Stade Josette et Roger Mikulak, Angers (FRA)",30 JUN 2024,1211
59,60,53.8,,Rachel GLENN,17 APR 2002,USA,1sf1,"Hayward Field, Eugene, OR (USA)",06 JUN 2024,1211
60,60,53.8,,Savannah SUTHERLAND,07 AUG 2003,CAN,4sf3,"Stade de France, Paris (FRA)",06 AUG 2024,1211
61,62,53.83,,Jasmine JONES,30 NOV 2001,USA,2sf1,"Stade de France, Paris (FRA)",06 AUG 2024,1210
62,62,53.83,,Louise MARAVAL,31 JUL 2001,FRA,2sf2,"Stade de France, Paris (FRA)",06 AUG 2024,1210
63,64,53.87,,Jasmine JONES,30 NOV 2001,USA,1,"Potts Field, Boulder, CO (USA)",12 MAY 2024,1208
64,65,53.88,,Savannah SUTHERLAND,07 AUG 2003,CAN,7,"Stade de France, Paris (FRA)",08 AUG 2024,1208
65,66,53.9,,Kemi ADEKOYA,16 JAN 1993,BRN,1,"Estadio Vallehermoso, Madrid (ESP)",21 JUN 2024,1207
66,66,53.9,,Zenéy GELDENHUYS,22 MAY 2000,RSA,3sf1,"Stade de France, Paris (FRA)",06 AUG 2024,1207
67,68,53.91,,Anna COCKRELL,28 AUG 1997,USA,1h4,"Stade de France, Paris (FRA)",04 AUG 2024,1207
68,69,53.94,,Rachel GLENN,17 APR 2002,USA,1h2,"John McDonnell Field, Fayetteville, AR (USA)",25 MAY 2024,1206
69,70,53.95,,Shiann SALMON,31 MAR 1999,JAM,2h3,"Stade de France, Paris (FRA)",04 AUG 2024,1206
70,71,53.98,,Rushell CLAYTON,18 OCT 1992,JAM,1,"Le Grand Stade, Marrakech (MAR)",19 MAY 2024,1205
71,72,53.99,,Shiann SALMON,31 MAR 1999,JAM,3,"Boudewijnstadion, Bruxelles (BEL)",14 SEP 2024,1205
72,73,54.0,,Janieve RUSSELL,14 NOV 1993,JAM,1h2,"National Stadium, Kingston (JAM)",27 JUN 2024,1204
