"",Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,43.4,,Quincy HALL,31 JUL 1998,USA,1,"Stade de France, Paris (FRA)",07 AUG 2024,1293
1,2,43.44,,Matthew HUDSON-SMITH,26 OCT 1994,GBR,2,"Stade de France, Paris (FRA)",07 AUG 2024,1291
2,3,43.74,,Matthew HUDSON-SMITH,26 OCT 1994,GBR,1,"Olympic Stadium, London (GBR)",20 JUL 2024,1269
3,3,43.74,,Muzala SAMUKONGA,09 DEC 2002,ZAM,3,"Stade de France, Paris (FRA)",07 AUG 2024,1269
4,5,43.78,,Kirani JAMES,01 SEP 1992,GRN,1sf2,"Stade de France, Paris (FRA)",06 AUG 2024,1266
5,5,43.78,,Jereem RICHARDS,13 JAN 1994,TTO,4,"Stade de France, Paris (FRA)",07 AUG 2024,1266
6,7,43.8,,Quincy HALL,31 JUL 1998,USA,1,"Stade Louis II, Monaco (MON)",12 JUL 2024,1265
7,8,43.81,,Muzala SAMUKONGA,09 DEC 2002,ZAM,2sf2,"Stade de France, Paris (FRA)",06 AUG 2024,1264
8,9,43.87,,Kirani JAMES,01 SEP 1992,GRN,5,"Stade de France, Paris (FRA)",07 AUG 2024,1260
9,10,43.95,,Quincy HALL,31 JUL 1998,USA,1sf1,"Stade de France, Paris (FRA)",06 AUG 2024,1254
10,11,43.96,,Matthew HUDSON-SMITH,26 OCT 1994,GBR,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",22 AUG 2024,1253
11,12,43.99,,Muzala SAMUKONGA,09 DEC 2002,ZAM,1,"Stadio Olimpico, Roma (ITA)",30 AUG 2024,1251
12,13,44.05,,Christopher MORALES-WILLIAMS,05 AUG 2004,CAN,1,"Percy Beard Track, Gainesville, FL (USA)",11 MAY 2024,1247
13,14,44.06,,Muzala SAMUKONGA,09 DEC 2002,ZAM,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",22 AUG 2024,1246
14,15,44.07,,Matthew HUDSON-SMITH,26 OCT 1994,GBR,1,"Bislett Stadion, Oslo (NOR)",30 MAY 2024,1245
15,15,44.07,,Matthew HUDSON-SMITH,26 OCT 1994,GBR,1sf3,"Stade de France, Paris (FRA)",06 AUG 2024,1245
16,17,44.1,,Bayapo NDORI,20 JUN 1999,BOT,1,"Nyayo National Stadium, Nairobi (KEN)",20 APR 2024,1243
17,17,44.1,,Vernon NORWOOD,10 APR 1992,USA,2,"Olympic Stadium, London (GBR)",20 JUL 2024,1243
18,17,44.1,,Michael NORMAN,03 DEC 1997,USA,1h2,"Stade de France, Paris (FRA)",04 AUG 2024,1243
19,20,44.15,,Alexander DOOM,25 APR 1997,BEL,1,"Stadio Olimpico, Roma (ITA)",10 JUN 2024,1240
20,21,44.17,,Quincy HALL,31 JUL 1998,USA,1,"Hayward Field, Eugene, OR (USA)",24 JUN 2024,1238
21,22,44.18,,Jereem RICHARDS,13 JAN 1994,TTO,3,"Olympic Stadium, London (GBR)",20 JUL 2024,1237
22,23,44.2,,Quincy WILSON,08 JAN 2008,USA,1,"Percy Beard Track, Gainesville, FL (USA)",19 JUL 2024,1236
23,24,44.21,,Michael NORMAN,03 DEC 1997,USA,1f1,"Jack Kemp Stadium, Los Angeles, CA (USA)",04 MAY 2024,1235
24,25,44.22,,Busang Collen KEBINATSHIPI,13 FEB 2004,BOT,3,"Stade Olympique de la Pontaise, Lausanne (SUI)",22 AUG 2024,1235
25,26,44.23,,Bryce DEADMON,26 MAR 1997,USA,2,"Percy Beard Track, Gainesville, FL (USA)",19 JUL 2024,1234
26,26,44.23,,Charles DOBSON,20 OCT 1999,GBR,4,"Olympic Stadium, London (GBR)",20 JUL 2024,1234
27,28,44.26,,Michael NORMAN,03 DEC 1997,USA,2sf3,"Stade de France, Paris (FRA)",06 AUG 2024,1232
28,29,44.28,,Quincy HALL,31 JUL 1998,USA,1h4,"Stade de France, Paris (FRA)",04 AUG 2024,1230
29,30,44.29,,Letsile TEBOGO,07 JUN 2003,BOT,1f2,"Bestmed Tuks Stadium, Pretoria (RSA)",18 MAR 2024,1230
30,31,44.3,,Kirani JAMES,01 SEP 1992,GRN,2,"Stadio Olimpico, Roma (ITA)",30 AUG 2024,1229
31,32,44.31,,Lythe PILLAY,25 FEB 2003,RSA,1,"Msunduzi Athletics Stadium, Pietermaritzburg (RSA)",20 APR 2024,1228
32,32,44.31,,Jereem RICHARDS,13 JAN 1994,TTO,2h2,"Stade de France, Paris (FRA)",04 AUG 2024,1228
33,32,44.31,,Christopher BAILEY,29 MAY 2000,USA,3sf2,"Stade de France, Paris (FRA)",06 AUG 2024,1228
34,35,44.33,,Jereem RICHARDS,13 JAN 1994,TTO,2sf1,"Stade de France, Paris (FRA)",06 AUG 2024,1227
35,36,44.34,,Vernon NORWOOD,10 APR 1992,USA,2,"Stade Louis II, Monaco (MON)",12 JUL 2024,1226
36,37,44.37,,Bryce DEADMON,26 MAR 1997,USA,4,"Stade Olympique de la Pontaise, Lausanne (SUI)",22 AUG 2024,1224
37,38,44.38,,Charles DOBSON,20 OCT 1999,GBR,2,"Stadio Olimpico, Roma (ITA)",10 JUN 2024,1223
38,38,44.38,,Kirani JAMES,01 SEP 1992,GRN,5,"Olympic Stadium, London (GBR)",20 JUL 2024,1223
39,40,44.39,,Steven GARDINER,12 SEP 1995,BAH,1,"Mestský Stadion, Ostrava (CZE)",28 MAY 2024,1223
40,41,44.41,,Bryce DEADMON,26 MAR 1997,USA,2,"Nyayo National Stadium, Nairobi (KEN)",20 APR 2024,1221
41,41,44.41,,Michael NORMAN,03 DEC 1997,USA,2,"Hayward Field, Eugene, OR (USA)",24 JUN 2024,1221
42,41,44.41,,Samuel OGAZI,14 MAY 2006,NGR,3sf3,"Stade de France, Paris (FRA)",06 AUG 2024,1221
43,44,44.42,,Rai BENJAMIN,27 JUL 1997,USA,1f2,"Hilmer Lodge Stadium, Walnut, CA (USA)",20 APR 2024,1220
44,44,44.42,,Christopher BAILEY,29 MAY 2000,USA,1,"Edwin Moses Track, Atlanta, GA (USA)",31 MAY 2024,1220
45,44,44.42,,Quincy HALL,31 JUL 1998,USA,1sf1,"Hayward Field, Eugene, OR (USA)",23 JUN 2024,1220
46,44,44.42,,Christopher BAILEY,29 MAY 2000,USA,3,"Hayward Field, Eugene, OR (USA)",24 JUN 2024,1220
47,48,44.43,,Busang Collen KEBINATSHIPI,13 FEB 2004,BOT,3sf1,"Stade de France, Paris (FRA)",06 AUG 2024,1220
