"",Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
48,48,44.43,,Bayapo NDORI,20 JUN 1999,BOT,4sf2,"Stade de France, Paris (FRA)",06 AUG 2024,1220
49,50,44.44,,Alexander DOOM,25 APR 1997,BEL,2,"Mestský Stadion, Ostrava (CZE)",28 MAY 2024,1219
50,50,44.44,,Bryce DEADMON,26 MAR 1997,USA,1sf2,"Hayward Field, Eugene, OR (USA)",23 JUN 2024,1219
51,52,44.45,,Steven GARDINER,12 SEP 1995,BAH,1f1,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",20 APR 2024,1218
52,52,44.45,,Busang Collen KEBINATSHIPI,13 FEB 2004,BOT,3h2,"Stade de France, Paris (FRA)",04 AUG 2024,1218
53,54,44.46,,Charles DOBSON,20 OCT 1999,GBR,1,"Centro Sportivo Fontanassa, Savona (ITA)",15 MAY 2024,1218
54,55,44.47,,Christopher MORALES-WILLIAMS,05 AUG 2004,CAN,1,"Hayward Field, Eugene, OR (USA)",07 JUN 2024,1217
55,55,44.47,,Vernon NORWOOD,10 APR 1992,USA,4,"Hayward Field, Eugene, OR (USA)",24 JUN 2024,1217
56,57,44.48,,Deandre WATKIN,09 DEC 2002,JAM,1,"National Stadium, Kingston (JAM)",28 JUN 2024,1216
57,57,44.48,,Charles DOBSON,20 OCT 1999,GBR,4sf1,"Stade de France, Paris (FRA)",06 AUG 2024,1216
58,59,44.49,,Christopher MORALES-WILLIAMS,05 AUG 2004,CAN,1f2,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",24 FEB 2024,1279
59,59,44.49,,Charles DOBSON,20 OCT 1999,GBR,1,"Boudewijnstadion, Bruxelles (BEL)",13 SEP 2024,1215
60,61,44.5,,Vernon NORWOOD,10 APR 1992,USA,2sf2,"Hayward Field, Eugene, OR (USA)",23 JUN 2024,1215
61,61,44.5,,Steven GARDINER,12 SEP 1995,BAH,1,"Bregyó Athletic Center, Székesfehérvár (HUN)",09 JUL 2024,1215
62,61,44.5,,Samuel OGAZI,14 MAY 2006,NGR,2h4,"Stade de France, Paris (FRA)",04 AUG 2024,1215
63,64,44.51,,Johnnie BLOCKBURGER,12 JUL 2002,USA,1,"Potts Field, Boulder, CO (USA)",12 MAY 2024,1214
64,64,44.51,,Alexander DOOM,25 APR 1997,BEL,1,"Le Grand Stade, Marrakech (MAR)",19 MAY 2024,1214
65,66,44.52,,Matheus LIMA,01 JUN 2003,BRA,1f1,"COTP Stadium, São Paulo (BRA)",02 MAR 2024,1213
66,66,44.52,,Matheus LIMA,01 JUN 2003,BRA,1f1,"Centro de Atletismo Professor Oswaldo Terra, Sao Bernardo do Campo (BRA)",20 APR 2024,1213
67,66,44.52,,Samuel OGAZI,14 MAY 2006,NGR,2,"Hayward Field, Eugene, OR (USA)",07 JUN 2024,1213
68,69,44.53,,Michael NORMAN,03 DEC 1997,USA,1,"Drake Stadium, Los Angeles, CA (USA)",18 MAY 2024,1213
69,69,44.53,,Samuel OGAZI,14 MAY 2006,NGR,1sf3,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",24 MAY 2024,1213
70,69,44.53,,Reece HOLDER,20 AUG 2002,AUS,3h4,"Stade de France, Paris (FRA)",04 AUG 2024,1213
71,69,44.53,,Charles DOBSON,20 OCT 1999,GBR,5,"Stade Olympique de la Pontaise, Lausanne (SUI)",22 AUG 2024,1213
72,73,44.54,,Leungo SCOTCH,28 FEB 1996,BOT,3,"Nyayo National Stadium, Nairobi (KEN)",20 APR 2024,1212
73,73,44.54,,Muzala SAMUKONGA,09 DEC 2002,ZAM,2,"Le Grand Stade, Marrakech (MAR)",19 MAY 2024,1212
74,73,44.54,,Jevaughn POWELL,19 NOV 2000,JAM,3,"Hayward Field, Eugene, OR (USA)",07 JUN 2024,1212
75,76,44.55,,Judson LINCOLN,01 JUL 2004,USA,1sf2,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",24 MAY 2024,1211
76,76,44.55,,Kirani JAMES,01 SEP 1992,GRN,1,"Icahn Stadium, New York, NY (USA)",09 JUN 2024,1211
77,76,44.55,,Vernon NORWOOD,10 APR 1992,USA,6,"Stade Olympique de la Pontaise, Lausanne (SUI)",22 AUG 2024,1211
78,76,44.55,,Jereem RICHARDS,13 JAN 1994,TTO,3,"Stadio Olimpico, Roma (ITA)",30 AUG 2024,1211
79,80,44.56,,Charles DOBSON,20 OCT 1999,GBR,1,"Manchester Regional Arena, Manchester (GBR)",30 JUN 2024,1211
80,80,44.56,,Muzala SAMUKONGA,09 DEC 2002,ZAM,1h3,"Stade de France, Paris (FRA)",04 AUG 2024,1211
81,80,44.56,,Bayapo NDORI,20 JUN 1999,BOT,4,"Stadio Olimpico, Roma (ITA)",30 AUG 2024,1211
82,83,44.58,,Samuel OGAZI,14 MAY 2006,NGR,2,"Percy Beard Track, Gainesville, FL (USA)",11 MAY 2024,1209
83,83,44.58,,Kirani JAMES,01 SEP 1992,GRN,2,"Bislett Stadion, Oslo (NOR)",30 MAY 2024,1209
84,83,44.58,,Lythe PILLAY,25 FEB 2003,RSA,3,"Stade Louis II, Monaco (MON)",12 JUL 2024,1209
85,83,44.58,,Christopher BAILEY,29 MAY 2000,USA,6,"Stade de France, Paris (FRA)",07 AUG 2024,1209
86,87,44.59,,Bayapo NDORI,20 JUN 1999,BOT,3,"Le Grand Stade, Marrakech (MAR)",19 MAY 2024,1208
87,87,44.59,,Quincy WILSON,08 JAN 2008,USA,3sf2,"Hayward Field, Eugene, OR (USA)",23 JUN 2024,1208
88,89,44.6,,Judson LINCOLN,01 JUL 2004,USA,1,"Geroge C. Griffin Track, Atlanta, GA (USA)",11 MAY 2024,1208
89,89,44.6,,Quincy HALL,31 JUL 1998,USA,1h1,"Hayward Field, Eugene, OR (USA)",21 JUN 2024,1208
90,91,44.61,,Bryce DEADMON,26 MAR 1997,USA,5,"Hayward Field, Eugene, OR (USA)",24 JUN 2024,1207
91,92,44.63,,Kirani JAMES,01 SEP 1992,GRN,2,"Boudewijnstadion, Bruxelles (BEL)",13 SEP 2024,1206
92,93,44.64,,Sean BAILEY,15 JUL 1997,JAM,2,"Bregyó Athletic Center, Székesfehérvár (HUN)",09 JUL 2024,1205
93,93,44.64,,Ammar Ismail YAHIA IBRAHIM,18 SEP 1996,QAT,5sf1,"Stade de France, Paris (FRA)",06 AUG 2024,1205
94,95,44.65,,Charles DOBSON,20 OCT 1999,GBR,1sf2,"Stadio Olimpico, Roma (ITA)",09 JUN 2024,1204
95,95,44.65,,Sean BAILEY,15 JUL 1997,JAM,2,"National Stadium, Kingston (JAM)",28 JUN 2024,1204
96,97,44.66,,Quincy WILSON,08 JAN 2008,USA,1h2,"Hayward Field, Eugene, OR (USA)",21 JUN 2024,1203
97,97,44.66,,Ammar Ismail YAHIA IBRAHIM,18 SEP 1996,QAT,4h2,"Stade de France, Paris (FRA)",04 AUG 2024,1203
98,99,44.67,,Christopher MORALES-WILLIAMS,05 AUG 2004,CAN,1f1,"The Track at New Balance, Boston, MA (USA) (i)",07 MAR 2024,1266
99,99,44.67,,Busang Collen KEBINATSHIPI,13 FEB 2004,BOT,4,"Stade Louis II, Monaco (MON)",12 JUL 2024,1203
0,101,44.68,,Khaleb MCRAE,09 SEP 2000,USA,3,"Percy Beard Track, Gainesville, FL (USA)",11 MAY 2024,1202
1,101,44.68,,Vernon NORWOOD,10 APR 1992,USA,3,"Bislett Stadion, Oslo (NOR)",30 MAY 2024,1202
2,101,44.68,,Quincy HALL,31 JUL 1998,USA,1,"Olympiastadion, Stockholm (SWE)",02 JUN 2024,1202
3,101,44.68,,Sean BAILEY,15 JUL 1997,JAM,5h2,"Stade de France, Paris (FRA)",04 AUG 2024,1202
4,105,44.69,,Zablon Ekhal EKWAM,04 AUG 1997,KEN,4,"Nyayo National Stadium, Nairobi (KEN)",20 APR 2024,1201
5,105,44.69,,Matthew HUDSON-SMITH,26 OCT 1994,GBR,1f1,"National Stadium, Kingston (JAM)",11 MAY 2024,1201
6,105,44.69,,Muzala SAMUKONGA,09 DEC 2002,ZAM,3,"Boudewijnstadion, Bruxelles (BEL)",13 SEP 2024,1201
7,108,44.7,,Samuel REARDON,30 OCT 2003,GBR,1,"Olympic Stadium, London (GBR)",20 JUL 2024,1201
8,109,44.71,,Bayapo NDORI,20 JUN 1999,BOT,5,"Stade Louis II, Monaco (MON)",12 JUL 2024,1200
9,109,44.71,,Vernon NORWOOD,10 APR 1992,USA,5,"Stadio Olimpico, Roma (ITA)",30 AUG 2024,1200
10,111,44.72,,Jereem RICHARDS,13 JAN 1994,TTO,1,"Hasely Crawford Stadium, Port-of-Spain (TTO)",29 JUN 2024,1199
11,112,44.73,,Christopher BAILEY,29 MAY 2000,USA,2,"Icahn Stadium, New York, NY (USA)",09 JUN 2024,1199
12,112,44.73,,Samuel OGAZI,14 MAY 2006,NGR,7,"Stade de France, Paris (FRA)",07 AUG 2024,1199
13,114,44.74,,Vernon NORWOOD,10 APR 1992,USA,1f1,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",27 APR 2024,1198
14,114,44.74,,Wayde VAN NIEKERK,15 JUL 1992,RSA,3,"Icahn Stadium, New York, NY (USA)",09 JUN 2024,1198
15,116,44.75,,Luca SITO,12 MAY 2003,ITA,1sf1,"Stadio Olimpico, Roma (ITA)",09 JUN 2024,1197
16,116,44.75,,Charles DOBSON,20 OCT 1999,GBR,6,"Stadio Olimpico, Roma (ITA)",30 AUG 2024,1197
17,118,44.76,,Steven GARDINER,12 SEP 1995,BAH,1,"Suhaim bin Hamad Stadium, Doha (QAT)",10 MAY 2024,1196
18,118,44.76,,Khaleb MCRAE,09 SEP 2000,USA,1h1,"Percy Beard Track, Gainesville, FL (USA)",10 MAY 2024,1196
19,118,44.76,,Bryce DEADMON,26 MAR 1997,USA,1f1,"Stadio Comunale, Bellinzona (SUI)",09 SEP 2024,1196
20,121,44.77,,Ammar Ismail YAHIA IBRAHIM,18 SEP 1996,QAT,14,"Stade de France, Paris (FRA)",05 AUG 2024,1196
21,121,44.77,,Bryce DEADMON,26 MAR 1997,USA,7,"Stadio Olimpico, Roma (ITA)",30 AUG 2024,1196
22,123,44.78,,Lythe PILLAY,25 FEB 2003,RSA,4,"Le Grand Stade, Marrakech (MAR)",19 MAY 2024,1195
23,123,44.78,,Khaleb MCRAE,09 SEP 2000,USA,2sf3,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",24 MAY 2024,1195
24,123,44.78,,Matthew HUDSON-SMITH,26 OCT 1994,GBR,1h1,"Stade de France, Paris (FRA)",04 AUG 2024,1195
25,123,44.78,,Kirani JAMES,01 SEP 1992,GRN,1h5,"Stade de France, Paris (FRA)",04 AUG 2024,1195
26,123,44.78,,Vernon NORWOOD,10 APR 1992,USA,4,"Boudewijnstadion, Bruxelles (BEL)",13 SEP 2024,1195
27,128,44.79,,Jevaughn POWELL,19 NOV 2000,JAM,3,"National Stadium, Kingston (JAM)",28 JUN 2024,1194
28,129,44.8,,Zakithi NENE,02 APR 1998,RSA,2,"Msunduzi Athletics Stadium, Pietermaritzburg (RSA)",20 APR 2024,1194
29,129,44.8,,Vernon NORWOOD,10 APR 1992,USA,2,"Olympiastadion, Stockholm (SWE)",02 JUN 2024,1194
30,131,44.81,,Zakithi NENE,02 APR 1998,RSA,13,"Stade de France, Paris (FRA)",05 AUG 2024,1193
31,132,44.82,,Jereem RICHARDS,13 JAN 1994,TTO,4,"Icahn Stadium, New York, NY (USA)",09 JUN 2024,1192
32,132,44.82,,Christopher BAILEY,29 MAY 2000,USA,2sf1,"Hayward Field, Eugene, OR (USA)",23 JUN 2024,1192
33,134,44.84,,Matthew BOLING,20 JUN 2000,USA,3,"Percy Beard Track, Gainesville, FL (USA)",19 JUL 2024,1191
34,135,44.85,,James BENSON,10 AUG 2000,USA,4,"Percy Beard Track, Gainesville, FL (USA)",11 MAY 2024,1190
35,135,44.85,,Kirani JAMES,01 SEP 1992,GRN,2,"Drake Stadium, Los Angeles, CA (USA)",18 MAY 2024,1190
36,137,44.86,,Vernon NORWOOD,10 APR 1992,USA,3,"Drake Stadium, Los Angeles, CA (USA)",18 MAY 2024,1190
37,137,44.86,,Christopher BAILEY,29 MAY 2000,USA,2h2,"Hayward Field, Eugene, OR (USA)",21 JUN 2024,1190
38,137,44.86,,Kirani JAMES,01 SEP 1992,GRN,1,"Centro Gabre Gabric, Brescia (ITA)",08 SEP 2024,1190
39,140,44.87,,Alexander DOOM,25 APR 1997,BEL,1sf3,"Stadio Olimpico, Roma (ITA)",09 JUN 2024,1189
40,140,44.87,,Matheus LIMA,01 JUN 2003,BRA,1,"Centro de Treinamento Paralímpico Brasileiro, São Paulo (BRA)",28 JUN 2024,1189
41,140,44.87,,Bayapo NDORI,20 JUN 1999,BOT,2h3,"Stade de France, Paris (FRA)",04 AUG 2024,1189
42,143,44.88,,Christopher MORALES-WILLIAMS,05 AUG 2004,CAN,1h2,"Percy Beard Track, Gainesville, FL (USA)",10 MAY 2024,1188
43,143,44.88,,Emmanuel BAMIDELE,06 JUL 1999,NGR,5,"Le Grand Stade, Marrakech (MAR)",19 MAY 2024,1188
44,143,44.88,,Liemarvin BONEVACIA,05 APR 1989,NED,3,"Stadio Olimpico, Roma (ITA)",10 JUN 2024,1188
45,146,44.89,,Christopher BAILEY,29 MAY 2000,USA,2h1,"Stade de France, Paris (FRA)",04 AUG 2024,1187
46,147,44.9,,Johnnie BLOCKBURGER,12 JUL 2002,USA,4,"Hayward Field, Eugene, OR (USA)",07 JUN 2024,1187
47,147,44.9,,Christopher MORALES-WILLIAMS,05 AUG 2004,CAN,6,"Olympic Stadium, London (GBR)",20 JUL 2024,1187
48,149,44.91,,Auhmad ROBINSON,04 JUN 2001,USA,2f1,"The Track at New Balance, Boston, MA (USA) (i)",07 MAR 2024,1249
49,149,44.91,,Christopher MORALES-WILLIAMS,05 AUG 2004,CAN,1f1,"Percy Beard Track, Gainesville, FL (USA)",13 APR 2024,1186
50,149,44.91,,Matthew BOLING,20 JUN 2000,USA,3sf1,"Hayward Field, Eugene, OR (USA)",23 JUN 2024,1186
51,149,44.91,,Jevaughn POWELL,19 NOV 2000,JAM,4sf3,"Stade de France, Paris (FRA)",06 AUG 2024,1186
52,153,44.92,,Bryce DEADMON,26 MAR 1997,USA,4,"Drake Stadium, Los Angeles, CA (USA)",18 MAY 2024,1185
53,154,44.93,,Sean BAILEY,15 JUL 1997,JAM,3,"Mestský Stadion, Ostrava (CZE)",28 MAY 2024,1185
54,154,44.93,,Elián LARREGINA,20 FEB 2000,ARG,1f1,"Estadio Vallehermoso, Madrid (ESP)",21 JUN 2024,1185
55,156,44.94,,Vernon NORWOOD,10 APR 1992,USA,2f1,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",20 APR 2024,1184
56,156,44.94,,Oleksandr POHORILKO,16 APR 2000,UKR,1f1,"Ergilio Hato Stadion, Willemstad (AHO)",28 APR 2024,1184
57,156,44.94,,Matthew BOLING,20 JUN 2000,USA,2h1,"Hayward Field, Eugene, OR (USA)",21 JUN 2024,1184
58,156,44.94,,Quincy WILSON,08 JAN 2008,USA,6,"Hayward Field, Eugene, OR (USA)",24 JUN 2024,1184
59,156,44.94,,Cheikh Tidiane DIOUF,23 MAR 1995,SEN,6sf1,"Stade de France, Paris (FRA)",06 AUG 2024,1184
60,156,44.94,,Reece HOLDER,20 AUG 2002,AUS,5sf3,"Stade de France, Paris (FRA)",06 AUG 2024,1184
61,162,44.95,,Justin ROBINSON,30 MAR 2002,USA,4sf1,"Hayward Field, Eugene, OR (USA)",23 JUN 2024,1183
62,162,44.95,,Sean BAILEY,15 JUL 1997,JAM,1h3,"National Stadium, Kingston (JAM)",27 JUN 2024,1183
63,164,44.96,,Christopher MORALES-WILLIAMS,05 AUG 2004,CAN,1sf1,"Hayward Field, Eugene, OR (USA)",05 JUN 2024,1183
64,164,44.96,,Christopher MORALES-WILLIAMS,05 AUG 2004,CAN,2h5,"Stade de France, Paris (FRA)",04 AUG 2024,1183
65,164,44.96,,Charles DOBSON,20 OCT 1999,GBR,1h6,"Stade de France, Paris (FRA)",04 AUG 2024,1183
66,167,44.97,,Chidi OKEZIE,08 AUG 1993,NGR,1,"Foote Field, Edmonton (CAN)",13 JUN 2024,1182
67,168,44.98,,Auhmad ROBINSON,04 JUN 2001,USA,2f1,"Percy Beard Track, Gainesville, FL (USA)",13 APR 2024,1181
68,168,44.98,,Matthew BOLING,20 JUN 2000,USA,2f1,"National Stadium, Kingston (JAM)",11 MAY 2024,1181
69,168,44.98,,Jonathan SACOOR,01 SEP 1999,BEL,4,"Stadio Olimpico, Roma (ITA)",10 JUN 2024,1181
70,168,44.98,,Judson LINCOLN,01 JUL 2004,USA,4sf2,"Hayward Field, Eugene, OR (USA)",23 JUN 2024,1181
71,172,44.99,,Jonathan SACOOR,01 SEP 1999,BEL,2sf1,"Stadio Olimpico, Roma (ITA)",09 JUN 2024,1180
72,172,44.99,,Liemarvin BONEVACIA,05 APR 1989,NED,1f1,"Stade de La Charrière, La Chaux-de-Fonds (SUI)",14 JUL 2024,1180
73,172,44.99,,Anthony PESELA,09 JUN 2002,BOT,1f2,"Stade de La Charrière, La Chaux-de-Fonds (SUI)",14 JUL 2024,1180
74,172,44.99,,Luca SITO,12 MAY 2003,ITA,3h3,"Stade de France, Paris (FRA)",04 AUG 2024,1180
75,172,44.99,,Aruna Dharshana SINGHAPURAGE,19 JAN 1999,SRI,3h5,"Stade de France, Paris (FRA)",04 AUG 2024,1180
76,172,44.99,,Matheus LIMA,01 JUN 2003,BRA,1,"Stadio Quercia, Rovereto (ITA)",31 AUG 2024,1180
77,178,45.0,,Matthew HUDSON-SMITH,26 OCT 1994,GBR,3f1,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",20 APR 2024,1180
78,178,45.0,,Auhmad ROBINSON,04 JUN 2001,USA,2sf1,"Hayward Field, Eugene, OR (USA)",05 JUN 2024,1180
79,178,45.0,,Jevaughn POWELL,19 NOV 2000,JAM,2h3,"National Stadium, Kingston (JAM)",27 JUN 2024,1180
80,181,45.01,,Adrian SWART,28 MAY 2002,RSA,1f4,"McArthur Stadium, Potchefstroom (RSA)",11 MAY 2024,1179
81,181,45.01,,Lionel SPITZ,12 JAN 2001,SUI,1,"Stadion Deutweg, Winterthur (SUI)",29 JUN 2024,1179
82,181,45.01,,Zakithi NENE,02 APR 1998,RSA,4h5,"Stade de France, Paris (FRA)",04 AUG 2024,1179
83,181,45.01,,Alexander DOOM,25 APR 1997,BEL,2h6,"Stade de France, Paris (FRA)",04 AUG 2024,1179
84,181,45.01,,Luca SITO,12 MAY 2003,ITA,5sf2,"Stade de France, Paris (FRA)",06 AUG 2024,1179
85,186,45.02,,Khaleb MCRAE,09 SEP 2000,USA,1f1,"Convention Center, Albuquerque, NM (USA) (i)",03 FEB 2024,1241
86,186,45.02,,Leungo SCOTCH,28 FEB 1996,BOT,4,"Bislett Stadion, Oslo (NOR)",30 MAY 2024,1178
87,186,45.02,,Quincy HALL,31 JUL 1998,USA,5,"Bislett Stadion, Oslo (NOR)",30 MAY 2024,1178
88,186,45.02,,Jacory PATTERSON,02 FEB 2000,USA,4,"Percy Beard Track, Gainesville, FL (USA)",19 JUL 2024,1178
89,186,45.02,,Elián LARREGINA,20 FEB 2000,ARG,6sf2,"Stade de France, Paris (FRA)",06 AUG 2024,1178
90,191,45.03,,Christopher BAILEY,29 MAY 2000,USA,2f1,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",27 APR 2024,1178
91,191,45.03,,Cheikh Tidiane DIOUF,23 MAR 1995,SEN,1f1,"Stade L. Achille, Fort-de-France (FRA)",18 MAY 2024,1178
92,191,45.03,,Christopher MORALES-WILLIAMS,05 AUG 2004,CAN,1sf1,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",24 MAY 2024,1178
93,191,45.03,,Jean Paul BREDAU,27 JUN 1999,GER,2sf2,"Stadio Olimpico, Roma (ITA)",09 JUN 2024,1178
94,191,45.03,,Ammar Ismail YAHIA IBRAHIM,18 SEP 1996,QAT,1,"Olympic Training Base, Almaty (KAZ)",22 JUN 2024,1178
95,191,45.03,,Bayapo NDORI,20 JUN 1999,BOT,7,"Olympic Stadium, London (GBR)",20 JUL 2024,1178
96,191,45.03,,Cheikh Tidiane DIOUF,23 MAR 1995,SEN,24,"Stade de France, Paris (FRA)",05 AUG 2024,1178
97,198,45.04,,Attila MOLNÁR,17 JAN 2002,HUN,3sf1,"Stadio Olimpico, Roma (ITA)",09 JUN 2024,1177
98,198,45.04,,Luca SITO,12 MAY 2003,ITA,5,"Stadio Olimpico, Roma (ITA)",10 JUN 2024,1177
99,198,45.04,,Jean Paul BREDAU,27 JUN 1999,GER,1,"Olympiastadion, Berlin (GER)",01 SEP 2024,1177
0,201,45.05,,Auhmad ROBINSON,04 JUN 2001,USA,5,"Percy Beard Track, Gainesville, FL (USA)",11 MAY 2024,1176
1,201,45.05,,Antonie Matthys NORTJE,02 FEB 2002,RSA,2,"Potts Field, Boulder, CO (USA)",12 MAY 2024,1176
