"",Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,12.86,2.0,Grant HOLLOWAY,19 NOV 1997,USA,1,"Hayward Field, Eugene, OR (USA)",28 JUN 2024,1282
1,2,12.92,0.8,Grant HOLLOWAY,19 NOV 1997,USA,1h1,"Hayward Field, Eugene, OR (USA)",24 JUN 2024,1270
2,3,12.93,2.0,Freddie CRITTENDEN,03 AUG 1994,USA,2,"Hayward Field, Eugene, OR (USA)",28 JUN 2024,1268
3,4,12.96,0.3,Grant HOLLOWAY,19 NOV 1997,USA,1sf1,"Hayward Field, Eugene, OR (USA)",27 JUN 2024,1262
4,4,12.96,2.0,Daniel ROBERTS,13 NOV 1997,USA,3,"Hayward Field, Eugene, OR (USA)",28 JUN 2024,1262
5,6,12.98,0.1,Grant HOLLOWAY,19 NOV 1997,USA,1sf1,"Stade de France, Paris (FRA)",07 AUG 2024,1258
6,7,12.99,-0.1,Grant HOLLOWAY,19 NOV 1997,USA,1,"Stade de France, Paris (FRA)",08 AUG 2024,1256
7,7,12.99,-0.3,Grant HOLLOWAY,19 NOV 1997,USA,1,"Letzigrund, Zürich (SUI)",05 SEP 2024,1257
8,9,13.01,-0.7,Grant HOLLOWAY,19 NOV 1997,USA,1,"Stade Louis II, Monaco (MON)",12 JUL 2024,1257
9,9,13.01,0.7,Grant HOLLOWAY,19 NOV 1997,USA,1h5,"Stade de France, Paris (FRA)",04 AUG 2024,1253
10,11,13.03,-0.1,Grant HOLLOWAY,19 NOV 1997,USA,1,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1249
11,11,13.03,2.0,Cordell TINCH,13 JUL 2000,USA,4,"Hayward Field, Eugene, OR (USA)",28 JUN 2024,1249
12,13,13.04,1.1,Grant HOLLOWAY,19 NOV 1997,USA,1,"Stadion Śląski, Chorzów (POL)",25 AUG 2024,1247
13,14,13.05,0.6,Lorenzo Ndele SIMONELLI,01 JUN 2002,ITA,1,"Stadio Olimpico, Roma (ITA)",08 JUN 2024,1245
14,14,13.05,-0.2,Freddie CRITTENDEN,03 AUG 1994,USA,1sf2,"Hayward Field, Eugene, OR (USA)",27 JUN 2024,1246
15,14,13.05,1.1,Rasheed BROADBELL,13 AUG 2000,JAM,2,"Stadion Śląski, Chorzów (POL)",25 AUG 2024,1245
16,17,13.07,1.2,Jamal BRITT,28 DEC 1998,USA,1h4,"Hayward Field, Eugene, OR (USA)",24 JUN 2024,1241
17,17,13.07,0.2,Rachid MURATAKE,06 FEB 2002,JPN,1,"Denka Big Swan Stadium, Niigata (JPN)",30 JUN 2024,1241
18,19,13.08,-0.7,Lorenzo Ndele SIMONELLI,01 JUN 2002,ITA,2,"Stade Louis II, Monaco (MON)",12 JUL 2024,1243
19,20,13.09,2.0,Ja'qualon SCOTT,02 AUG 2001,USA,5,"Hayward Field, Eugene, OR (USA)",28 JUN 2024,1237
20,20,13.09,0.0,Enrique LLOPIS,15 OCT 2000,ESP,1,"Estadi Olímpic Camilo Cano, La Nucia (ESP)",30 JUN 2024,1237
21,20,13.09,0.6,Orlando BENNETT,12 OCT 1999,JAM,1sf3,"Stade de France, Paris (FRA)",07 AUG 2024,1237
22,20,13.09,-0.1,Daniel ROBERTS,13 NOV 1997,USA,2,"Stade de France, Paris (FRA)",08 AUG 2024,1237
23,20,13.09,-0.1,Rasheed BROADBELL,13 AUG 2000,JAM,3,"Stade de France, Paris (FRA)",08 AUG 2024,1237
24,25,13.1,0.7,Dylan BEARD,15 SEP 1998,USA,1h1,"Emory Woodruff Physical Education Center, Atlanta, GA (USA)",08 JUN 2024,1235
25,25,13.1,-0.7,Cordell TINCH,13 JUL 2000,USA,3,"Stade Louis II, Monaco (MON)",12 JUL 2024,1239
26,25,13.1,1.6,Shunsuke IZUMIYA,26 JAN 2000,JPN,1f2,"AGF Field, Tokyo (JPN)",21 JUL 2024,1235
27,25,13.1,0.6,Daniel ROBERTS,13 NOV 1997,USA,2sf3,"Stade de France, Paris (FRA)",07 AUG 2024,1235
28,25,13.1,-0.1,Rasheed BROADBELL,13 AUG 2000,JAM,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",22 AUG 2024,1235
29,25,13.1,-0.3,Sasha ZHOYA,25 JUN 2002,FRA,2,"Letzigrund, Zürich (SUI)",05 SEP 2024,1236
30,31,13.11,-0.3,Daniel ROBERTS,13 NOV 1997,USA,1,"Egret Stadium, Xiamen (CHN)",20 APR 2024,1234
31,31,13.11,1.1,Daniel ROBERTS,13 NOV 1997,USA,1sf3,"Hayward Field, Eugene, OR (USA)",27 JUN 2024,1233
32,33,13.12,0.8,Daniel ROBERTS,13 NOV 1997,USA,1,"Suzhou Olympic Sports Centre, Suzhou (CHN)",27 APR 2024,1231
33,33,13.12,0.8,Trey CUNNINGHAM,26 AUG 1998,USA,1,"National Stadium, Kingston (JAM)",01 JUN 2024,1231
34,33,13.12,1.8,Trey CUNNINGHAM,26 AUG 1998,USA,1h3,"Hayward Field, Eugene, OR (USA)",24 JUN 2024,1231
35,36,13.13,-0.1,Daniel ROBERTS,13 NOV 1997,USA,2,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1229
36,36,13.13,-0.7,Trey CUNNINGHAM,26 AUG 1998,USA,4,"Stade Louis II, Monaco (MON)",12 JUL 2024,1233
37,38,13.14,1.2,Daniel ROBERTS,13 NOV 1997,USA,2h4,"Hayward Field, Eugene, OR (USA)",24 JUN 2024,1227
38,38,13.14,-1.0,Rachid MURATAKE,06 FEB 2002,JPN,1sf1,"Denka Big Swan Stadium, Niigata (JPN)",29 JUN 2024,1233
39,38,13.14,-0.1,Grant HOLLOWAY,19 NOV 1997,USA,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",22 AUG 2024,1227
