"",Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
40,38,13.14,0.1,Grant HOLLOWAY,19 NOV 1997,USA,1,"Olympiastadion, Berlin (GER)",01 SEP 2024,1227
41,38,13.14,-0.5,Rachid MURATAKE,06 FEB 2002,JPN,1,"Sports Park Mladost, Zagreb (CRO)",08 SEP 2024,1230
42,43,13.15,1.2,Ja'qualon SCOTT,02 AUG 2001,USA,3h4,"Hayward Field, Eugene, OR (USA)",24 JUN 2024,1225
43,43,13.15,2.0,Cameron MURRAY,12 DEC 1999,USA,6,"Hayward Field, Eugene, OR (USA)",28 JUN 2024,1225
44,43,13.15,-0.6,Sasha ZHOYA,25 JUN 2002,FRA,1,"Stade Charléty, Paris (FRA)",07 JUL 2024,1228
45,43,13.15,-0.6,Trey CUNNINGHAM,26 AUG 1998,USA,2,"Stade Charléty, Paris (FRA)",07 JUL 2024,1228
46,43,13.15,0.1,Rachid MURATAKE,06 FEB 2002,JPN,1h1,"Stade Charléty, Paris (FRA)",07 JUL 2024,1225
47,43,13.15,-0.3,Freddie CRITTENDEN,03 AUG 1994,USA,3,"Letzigrund, Zürich (SUI)",05 SEP 2024,1226
48,49,13.16,-0.3,Cordell TINCH,13 JUL 2000,USA,2,"Egret Stadium, Xiamen (CHN)",20 APR 2024,1224
49,49,13.16,-0.1,Freddie CRITTENDEN,03 AUG 1994,USA,3,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1223
50,49,13.16,0.6,Enrique LLOPIS,15 OCT 2000,ESP,2,"Stadio Olimpico, Roma (ITA)",08 JUN 2024,1223
51,49,13.16,0.7,Cameron MURRAY,12 DEC 1999,USA,2h1,"Emory Woodruff Physical Education Center, Atlanta, GA (USA)",08 JUN 2024,1223
52,49,13.16,-0.3,Freddie CRITTENDEN,03 AUG 1994,USA,1h2,"Hayward Field, Eugene, OR (USA)",24 JUN 2024,1224
53,49,13.16,-0.6,Shunsuke IZUMIYA,26 JAN 2000,JPN,3,"Stade Charléty, Paris (FRA)",07 JUL 2024,1226
54,49,13.16,0.4,Shunsuke IZUMIYA,26 JAN 2000,JPN,1h2,"Stade Charléty, Paris (FRA)",07 JUL 2024,1223
55,49,13.16,0.4,Sasha ZHOYA,25 JUN 2002,FRA,1,"Boudewijnstadion, Bruxelles (BEL)",13 SEP 2024,1223
56,57,13.17,-0.3,Shunsuke IZUMIYA,26 JAN 2000,JPN,3,"Egret Stadium, Xiamen (CHN)",20 APR 2024,1222
57,57,13.17,1.8,Daniel ROBERTS,13 NOV 1997,USA,1,"National Stadium, Kingston (JAM)",11 MAY 2024,1221
58,57,13.17,0.1,Enrique LLOPIS,15 OCT 2000,ESP,2sf1,"Stade de France, Paris (FRA)",07 AUG 2024,1221
59,60,13.18,0.4,Ja'Kobe THARP,30 SEP 2005,USA,1,"Percy Beard Track, Gainesville, FL (USA)",11 MAY 2024,1219
60,60,13.18,0.2,Ja'Kobe THARP,30 SEP 2005,USA,1sf1,"Hayward Field, Eugene, OR (USA)",05 JUN 2024,1219
61,60,13.18,-1.3,Lorenzo Ndele SIMONELLI,01 JUN 2002,ITA,1,"Campo Montagna, La Spezia (ITA)",29 JUN 2024,1226
62,60,13.18,0.4,Rasheed BROADBELL,13 AUG 2000,JAM,1,"National Stadium, Kingston (JAM)",30 JUN 2024,1219
63,60,13.18,0.4,Orlando BENNETT,12 OCT 1999,JAM,2,"National Stadium, Kingston (JAM)",30 JUN 2024,1219
64,60,13.18,0.4,Sasha ZHOYA,25 JUN 2002,FRA,1,"Stadio Olimpico, Roma (ITA)",30 AUG 2024,1219
65,60,13.18,-0.3,Hansle PARCHMENT,17 JUN 1990,JAM,4,"Letzigrund, Zürich (SUI)",05 SEP 2024,1220
66,60,13.18,-0.3,Daniel ROBERTS,13 NOV 1997,USA,5,"Letzigrund, Zürich (SUI)",05 SEP 2024,1220
67,60,13.18,-0.5,Daniel ROBERTS,13 NOV 1997,USA,2,"Sports Park Mladost, Zagreb (CRO)",08 SEP 2024,1222
68,69,13.19,0.1,Darius LUFF,29 JAN 2001,USA,1,"Hayward Field, Eugene, OR (USA)",07 JUN 2024,1218
69,69,13.19,1.8,Dylan BEARD,15 SEP 1998,USA,2h3,"Hayward Field, Eugene, OR (USA)",24 JUN 2024,1218
70,69,13.19,0.3,Cordell TINCH,13 JUL 2000,USA,2sf1,"Hayward Field, Eugene, OR (USA)",27 JUN 2024,1218
71,69,13.19,1.1,Michael DICKSON,25 JAN 1997,USA,2sf3,"Hayward Field, Eugene, OR (USA)",27 JUN 2024,1218
72,69,13.19,0.4,Hansle PARCHMENT,17 JUN 1990,JAM,3,"National Stadium, Kingston (JAM)",30 JUN 2024,1218
73,69,13.19,0.1,Hansle PARCHMENT,17 JUN 1990,JAM,3sf1,"Stade de France, Paris (FRA)",07 AUG 2024,1218
74,75,13.2,1.7,Michael OBASUYI,12 AUG 1999,BEL,1,"Stade Pierre de Coubertin, Montgeron (FRA)",19 MAY 2024,1216
75,75,13.2,-0.3,Michael OBASUYI,12 AUG 1999,BEL,1f1,"Boudewijnstadion, Bruxelles (BEL)",26 MAY 2024,1217
76,75,13.2,0.1,Ja'Kobe THARP,30 SEP 2005,USA,2,"Hayward Field, Eugene, OR (USA)",07 JUN 2024,1216
77,75,13.2,0.5,Lorenzo Ndele SIMONELLI,01 JUN 2002,ITA,1sf3,"Stadio Olimpico, Roma (ITA)",08 JUN 2024,1216
78,75,13.2,0.1,Trey CUNNINGHAM,26 AUG 1998,USA,2h1,"Stade Charléty, Paris (FRA)",07 JUL 2024,1216
79,75,13.2,-0.1,Enrique LLOPIS,15 OCT 2000,ESP,4,"Stade de France, Paris (FRA)",08 AUG 2024,1216
80,75,13.2,-0.3,Rachid MURATAKE,06 FEB 2002,JPN,6,"Letzigrund, Zürich (SUI)",05 SEP 2024,1217
81,82,13.21,-1.4,Grant HOLLOWAY,19 NOV 1997,USA,1f2,"Percy Beard Track, Gainesville, FL (USA)",13 APR 2024,1222
82,82,13.21,-0.4,Lorenzo Ndele SIMONELLI,01 JUN 2002,ITA,1,"Stade Raymond Petit, Tomblaine (FRA)",25 MAY 2024,1216
83,82,13.21,-0.8,Trey CUNNINGHAM,26 AUG 1998,USA,1,"Icahn Stadium, New York, NY (USA)",09 JUN 2024,1218
84,82,13.21,0.5,Enrique LLOPIS,15 OCT 2000,ESP,1f1,"Estadio Vallehermoso, Madrid (ESP)",21 JUN 2024,1214
85,82,13.21,2.0,Michael DICKSON,25 JAN 1997,USA,7,"Hayward Field, Eugene, OR (USA)",28 JUN 2024,1214
86,82,13.21,-0.6,Enrique LLOPIS,15 OCT 2000,ESP,4,"Stade Charléty, Paris (FRA)",07 JUL 2024,1217
87,82,13.21,-0.6,Dylan BEARD,15 SEP 1998,USA,5,"Stade Charléty, Paris (FRA)",07 JUL 2024,1217
88,82,13.21,-0.2,Trey CUNNINGHAM,26 AUG 1998,USA,1,"Bregyó Athletic Center, Székesfehérvár (HUN)",09 JUL 2024,1215
89,82,13.21,-0.1,Rasheed BROADBELL,13 AUG 2000,JAM,1sf2,"Stade de France, Paris (FRA)",07 AUG 2024,1214
90,82,13.21,-0.1,Rachid MURATAKE,06 FEB 2002,JPN,5,"Stade de France, Paris (FRA)",08 AUG 2024,1214
91,82,13.21,0.1,Rachid MURATAKE,06 FEB 2002,JPN,2,"Olympiastadion, Berlin (GER)",01 SEP 2024,1214
92,93,13.22,-0.6,Rachid MURATAKE,06 FEB 2002,JPN,1,"National Stadium, Tokyo (JPN)",19 MAY 2024,1215
93,93,13.22,-1.2,Zhuoyi XU,21 AUG 2003,CHN,1,"Olympic Sports Center, Chongqing (CHN)",29 MAY 2024,1219
94,93,13.22,1.3,Zhuoyi XU,21 AUG 2003,CHN,1f1,"Athletic Stadium, Tottori (JPN)",02 JUN 2024,1212
95,93,13.22,0.5,Enrique LLOPIS,15 OCT 2000,ESP,2sf3,"Stadio Olimpico, Roma (ITA)",08 JUN 2024,1212
96,93,13.22,0.4,Tyler MASON,15 NOV 1995,JAM,4,"National Stadium, Kingston (JAM)",30 JUN 2024,1212
97,93,13.22,0.4,Omar MCLEOD,25 APR 1994,JAM,4,"National Stadium, Kingston (JAM)",30 JUN 2024,1212
98,93,13.22,0.1,Michael OBASUYI,12 AUG 1999,BEL,3h1,"Stade Charléty, Paris (FRA)",07 JUL 2024,1212
99,93,13.22,0.1,Rachid MURATAKE,06 FEB 2002,JPN,1h1,"Stade de France, Paris (FRA)",04 AUG 2024,1212
0,93,13.22,0.7,Sasha ZHOYA,25 JUN 2002,FRA,1,"Stadio Comunale, Bellinzona (SUI)",09 SEP 2024,1212
1,93,13.22,0.4,Lorenzo Ndele SIMONELLI,01 JUN 2002,ITA,2,"Boudewijnstadion, Bruxelles (BEL)",13 SEP 2024,1212
2,103,13.23,0.8,Shunsuke IZUMIYA,26 JAN 2000,JPN,2,"Suzhou Olympic Sports Centre, Suzhou (CHN)",27 APR 2024,1210
3,103,13.23,1.7,Andrew POZZI,15 MAY 1992,GBR,2,"Stade Pierre de Coubertin, Montgeron (FRA)",19 MAY 2024,1210
4,103,13.23,1.2,Cameron MURRAY,12 DEC 1999,USA,4h4,"Hayward Field, Eugene, OR (USA)",24 JUN 2024,1210
5,103,13.23,-0.2,Ja'qualon SCOTT,02 AUG 2001,USA,2sf2,"Hayward Field, Eugene, OR (USA)",27 JUN 2024,1211
6,103,13.23,1.1,De'Vion WILSON,18 MAY 2000,USA,3sf3,"Hayward Field, Eugene, OR (USA)",27 JUN 2024,1210
7,103,13.23,0.1,Enrique LLOPIS,15 OCT 2000,ESP,4h1,"Stade Charléty, Paris (FRA)",07 JUL 2024,1210
8,103,13.23,-0.1,Freddie CRITTENDEN,03 AUG 1994,USA,2sf2,"Stade de France, Paris (FRA)",07 AUG 2024,1210
9,103,13.23,-0.1,Hansle PARCHMENT,17 JUN 1990,JAM,3,"Stade Olympique de la Pontaise, Lausanne (SUI)",22 AUG 2024,1210
10,103,13.23,0.7,Grant HOLLOWAY,19 NOV 1997,USA,2,"Stadio Comunale, Bellinzona (SUI)",09 SEP 2024,1210
11,112,13.24,1.2,Ja'Kobe THARP,30 SEP 2005,USA,1h2,"Percy Beard Track, Gainesville, FL (USA)",10 MAY 2024,1208
12,112,13.24,1.7,Aurel MANGA,24 JUL 1992,FRA,3,"Stade Pierre de Coubertin, Montgeron (FRA)",19 MAY 2024,1208
13,112,13.24,1.2,Michael OBASUYI,12 AUG 1999,BEL,1h2,"Stade Pierre de Coubertin, Montgeron (FRA)",19 MAY 2024,1208
14,112,13.24,0.0,Ja'Kobe THARP,30 SEP 2005,USA,1sf3,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",24 MAY 2024,1208
15,112,13.24,1.8,De'Vion WILSON,18 MAY 2000,USA,1h1,"John McDonnell Field, Fayetteville, AR (USA)",24 MAY 2024,1208
16,112,13.24,0.8,Rasheed BROADBELL,13 AUG 2000,JAM,2,"National Stadium, Kingston (JAM)",01 JUN 2024,1208
17,112,13.24,0.5,Lorenzo Ndele SIMONELLI,01 JUN 2002,ITA,2f1,"Estadio Vallehermoso, Madrid (ESP)",21 JUN 2024,1208
18,112,13.24,0.1,Michael OBASUYI,12 AUG 1999,BEL,1f2,"Boudewijnstadion, Bruxelles (BEL)",30 JUN 2024,1208
19,112,13.24,1.1,Daniel ROBERTS,13 NOV 1997,USA,3,"Stadion Śląski, Chorzów (POL)",25 AUG 2024,1208
20,112,13.24,0.4,Freddie CRITTENDEN,03 AUG 1994,USA,3,"Boudewijnstadion, Bruxelles (BEL)",13 SEP 2024,1208
21,122,13.25,-0.7,Darius LUFF,29 JAN 2001,USA,1,"Drake Stadium, Des Moines, IA (USA)",27 APR 2024,1210
22,122,13.25,0.7,Darius LUFF,29 JAN 2001,USA,1,"University of Michigan Outdoor Track Stadium, Ann Arbor, MI (USA)",12 MAY 2024,1206
23,122,13.25,1.4,Omar MCLEOD,25 APR 1994,JAM,1,"Paavo Nurmen Stadion, Turku (FIN)",18 JUN 2024,1206
24,122,13.25,1.1,Jakub SZYMAŃSKI,22 JUL 2002,POL,1,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",28 JUN 2024,1206
25,122,13.25,0.3,Jason JOSEPH,11 OCT 1998,SUI,1h2,"Stadion Deutweg, Winterthur (SUI)",29 JUN 2024,1206
26,122,13.25,0.4,Dylan BEARD,15 SEP 1998,USA,2h2,"Stade Charléty, Paris (FRA)",07 JUL 2024,1206
27,122,13.25,-0.7,Sasha ZHOYA,25 JUN 2002,FRA,5,"Stade Louis II, Monaco (MON)",12 JUL 2024,1210
28,122,13.25,-0.5,Hansle PARCHMENT,17 JUN 1990,JAM,3,"Sports Park Mladost, Zagreb (CRO)",08 SEP 2024,1209
29,130,13.26,0.8,Hansle PARCHMENT,17 JUN 1990,JAM,3,"Suzhou Olympic Sports Centre, Suzhou (CHN)",27 APR 2024,1204
30,130,13.26,0.8,Cordell TINCH,13 JUL 2000,USA,4,"Suzhou Olympic Sports Centre, Suzhou (CHN)",27 APR 2024,1204
31,130,13.26,0.0,Enrique LLOPIS,15 OCT 2000,ESP,1,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",22 MAY 2024,1204
32,130,13.26,0.8,Michael DICKSON,25 JAN 1997,USA,3,"National Stadium, Kingston (JAM)",01 JUN 2024,1204
33,130,13.26,-0.2,Trey CUNNINGHAM,26 AUG 1998,USA,3sf2,"Hayward Field, Eugene, OR (USA)",27 JUN 2024,1205
34,130,13.26,-0.1,Jason JOSEPH,11 OCT 1998,SUI,1,"Stadion Deutweg, Winterthur (SUI)",29 JUN 2024,1204
35,130,13.26,0.3,Jason JOSEPH,11 OCT 1998,SUI,1h4,"Stade de France, Paris (FRA)",04 AUG 2024,1204
36,130,13.26,0.1,Rachid MURATAKE,06 FEB 2002,JPN,4sf1,"Stade de France, Paris (FRA)",07 AUG 2024,1204
37,130,13.26,-0.1,Daniel ROBERTS,13 NOV 1997,USA,4,"Stade Olympique de la Pontaise, Lausanne (SUI)",22 AUG 2024,1204
38,130,13.26,-0.1,Lorenzo Ndele SIMONELLI,01 JUN 2002,ITA,5,"Stade Olympique de la Pontaise, Lausanne (SUI)",22 AUG 2024,1204
39,140,13.27,0.9,Damian CZYKIER,10 AUG 1992,POL,1,"Stadion Zygmunta Szelesta, Warszawa (POL)",11 MAY 2024,1202
40,140,13.27,1.7,Raphaël MOHAMED,02 FEB 1998,FRA,4,"Stade Pierre de Coubertin, Montgeron (FRA)",19 MAY 2024,1202
41,140,13.27,1.2,Aurel MANGA,24 JUL 1992,FRA,2h2,"Stade Pierre de Coubertin, Montgeron (FRA)",19 MAY 2024,1202
42,140,13.27,0.1,Ja'qualon SCOTT,02 AUG 2001,USA,3,"Hayward Field, Eugene, OR (USA)",07 JUN 2024,1202
43,140,13.27,0.3,Cameron MURRAY,12 DEC 1999,USA,3sf1,"Hayward Field, Eugene, OR (USA)",27 JUN 2024,1202
44,140,13.27,-0.7,Eduardo RODRIGUES,08 OCT 1995,BRA,1h1,"Centro de Treinamento Paralímpico Brasileiro, São Paulo (BRA)",28 JUN 2024,1206
45,140,13.27,0.3,Lorenzo Ndele SIMONELLI,01 JUN 2002,ITA,2h4,"Stade de France, Paris (FRA)",04 AUG 2024,1202
46,140,13.27,0.3,Shunsuke IZUMIYA,26 JAN 2000,JPN,3h4,"Stade de France, Paris (FRA)",04 AUG 2024,1202
47,140,13.27,0.4,Asier MARTÍNEZ,22 APR 2000,ESP,2,"Stadio Olimpico, Roma (ITA)",30 AUG 2024,1202
48,140,13.27,0.4,Cordell TINCH,13 JUL 2000,USA,4,"Boudewijnstadion, Bruxelles (BEL)",13 SEP 2024,1202
49,150,13.28,-0.1,Hansle PARCHMENT,17 JUN 1990,JAM,4,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1200
50,150,13.28,0.8,Freddie CRITTENDEN,03 AUG 1994,USA,4,"National Stadium, Kingston (JAM)",01 JUN 2024,1200
51,150,13.28,-0.8,Rasheed BROADBELL,13 AUG 2000,JAM,2,"Icahn Stadium, New York, NY (USA)",09 JUN 2024,1204
52,150,13.28,1.1,Myles HUNTER,16 AUG 1995,USA,4sf3,"Hayward Field, Eugene, OR (USA)",27 JUN 2024,1200
53,150,13.28,2.0,De'Vion WILSON,18 MAY 2000,USA,8,"Hayward Field, Eugene, OR (USA)",28 JUN 2024,1200
54,150,13.28,-0.2,Orlando BENNETT,12 OCT 1999,JAM,1h3,"National Stadium, Kingston (JAM)",29 JUN 2024,1201
55,150,13.28,0.1,Enrique LLOPIS,15 OCT 2000,ESP,2h1,"Stade de France, Paris (FRA)",04 AUG 2024,1200
56,150,13.28,0.4,Omar MCLEOD,25 APR 1994,JAM,3,"Stadio Olimpico, Roma (ITA)",30 AUG 2024,1200
57,150,13.28,0.1,Omar MCLEOD,25 APR 1994,JAM,3,"Olympiastadion, Berlin (GER)",01 SEP 2024,1200
58,159,13.29,-0.6,Rachid MURATAKE,06 FEB 2002,JPN,1f1,"Municipal Stadium, Hiroshima (JPN)",29 APR 2024,1201
59,159,13.29,0.4,Asier MARTÍNEZ,22 APR 2000,ESP,1,"Pista atletismo Can Mises, Ibiza (ESP)",11 MAY 2024,1198
60,159,13.29,-0.1,Trey CUNNINGHAM,26 AUG 1998,USA,5,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1198
61,159,13.29,1.0,Lorenzo Ndele SIMONELLI,01 JUN 2002,ITA,1,"Stadio Guidobaldi, Rieti (ITA)",01 JUN 2024,1198
62,159,13.29,1.3,Weibo QIN,29 DEC 2002,CHN,2f1,"Athletic Stadium, Tottori (JPN)",02 JUN 2024,1198
63,159,13.29,0.0,Asier MARTÍNEZ,22 APR 2000,ESP,1sf1,"Stadio Olimpico, Roma (ITA)",08 JUN 2024,1198
64,159,13.29,0.7,Omar MCLEOD,25 APR 1994,JAM,1h1,"Paavo Nurmen Stadion, Turku (FIN)",18 JUN 2024,1198
65,159,13.29,0.0,Lorenzo Ndele SIMONELLI,01 JUN 2002,ITA,1h2,"Campo Montagna, La Spezia (ITA)",29 JUN 2024,1198
66,159,13.29,-0.8,Rachid MURATAKE,06 FEB 2002,JPN,1h3,"Denka Big Swan Stadium, Niigata (JPN)",29 JUN 2024,1202
67,159,13.29,-0.6,Michael OBASUYI,12 AUG 1999,BEL,6,"Stade Charléty, Paris (FRA)",07 JUL 2024,1201
68,159,13.29,1.1,Cordell TINCH,13 JUL 2000,USA,4,"Stadion Śląski, Chorzów (POL)",25 AUG 2024,1198
69,159,13.29,0.4,Eric EDWARDS,03 JAN 2000,USA,4,"Stadio Olimpico, Roma (ITA)",30 AUG 2024,1198
70,171,13.3,0.0,Eduardo RODRIGUES,08 OCT 1995,BRA,1,"Centro de Atletismo Professor Oswaldo Terra, Sao Bernardo do Campo (BRA)",16 MAR 2024,1196
71,171,13.3,-0.3,Freddie CRITTENDEN,03 AUG 1994,USA,4,"Egret Stadium, Xiamen (CHN)",20 APR 2024,1197
72,171,13.3,1.8,Darius LUFF,29 JAN 2001,USA,1pr5,"John McDonnell Field, Fayetteville, AR (USA)",22 MAY 2024,1196
73,171,13.3,1.8,Jerome CAMPBELL,20 NOV 2002,JAM,2h1,"John McDonnell Field, Fayetteville, AR (USA)",24 MAY 2024,1196
74,171,13.3,2.0,Weibo QIN,29 DEC 2002,CHN,1h5,"Athletic Stadium, Tottori (JPN)",02 JUN 2024,1196
75,171,13.3,-0.2,Tyler MASON,15 NOV 1995,JAM,2h3,"National Stadium, Kingston (JAM)",29 JUN 2024,1197
76,171,13.3,-1.3,Cameron MURRAY,12 DEC 1999,USA,1,"Billy J. Murphy Track and Field Complex, Memphis, TN (USA)",12 JUL 2024,1203
77,171,13.3,0.5,Eric EDWARDS,03 JAN 2000,USA,1,"Percy Beard Track, Gainesville, FL (USA)",19 JUL 2024,1196
78,179,13.31,-0.3,Eric EDWARDS,03 JAN 2000,USA,5,"Egret Stadium, Xiamen (CHN)",20 APR 2024,1195
79,179,13.31,1.0,Ja'qualon SCOTT,02 AUG 2001,USA,1pr6,"John McDonnell Field, Fayetteville, AR (USA)",22 MAY 2024,1194
80,179,13.31,-0.1,Asier MARTÍNEZ,22 APR 2000,ESP,6,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1194
81,179,13.31,1.0,Darius LUFF,29 JAN 2001,USA,1sf2,"Hayward Field, Eugene, OR (USA)",05 JUN 2024,1194
82,179,13.31,0.0,Michael OBASUYI,12 AUG 1999,BEL,2sf1,"Stadio Olimpico, Roma (ITA)",08 JUN 2024,1194
83,179,13.31,0.2,Shunya TAKAYAMA,03 SEP 1994,JPN,2,"Denka Big Swan Stadium, Niigata (JPN)",30 JUN 2024,1194
84,179,13.31,1.0,Jakub SZYMAŃSKI,22 JUL 2002,POL,1,"Stadion MOSiR, Lublin (POL)",13 JUL 2024,1194
85,179,13.31,0.0,Louis François MENDY,02 MAR 1999,SEN,1h2,"Stade de France, Paris (FRA)",04 AUG 2024,1194
86,179,13.31,-0.9,Artyom MAKARENKO,23 APR 1997,RUS,1,"Kalininets Stadium, Yekaterinburg (RUS)",18 AUG 2024,1199
87,179,13.31,-0.3,Cordell TINCH,13 JUL 2000,USA,7,"Letzigrund, Zürich (SUI)",05 SEP 2024,1195
88,179,13.31,0.4,Michael OBASUYI,12 AUG 1999,BEL,5,"Boudewijnstadion, Bruxelles (BEL)",13 SEP 2024,1194
89,179,13.31,0.2,Zhuoyi XU,21 AUG 2003,CHN,1,"Sports Center, Quzhou (CHN)",16 SEP 2024,1194
90,191,13.32,1.5,Raphaël MOHAMED,02 FEB 1998,FRA,1h1,"Stade Pierre de Coubertin, Montgeron (FRA)",19 MAY 2024,1193
91,191,13.32,1.1,Jamal BRITT,28 DEC 1998,USA,5sf3,"Hayward Field, Eugene, OR (USA)",27 JUN 2024,1193
